,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
2021-10-25,新元科技,闽东电力,伊戈尔,金开新能,康隆达,深圳新星,天泽信息,宝色股份,盛弘股份,杰赛科技
2021-10-26,新元科技,康隆达,闽东电力,盛弘股份,金开新能,伊戈尔,永福股份,创意信息,杰赛科技,天泽信息
2021-10-27,新元科技,闽东电力,伊戈尔,康隆达,金开新能,盛弘股份,天泽信息,杰赛科技,龙蟠科技,欣旺达
2021-10-28,新元科技,伊戈尔,闽东电力,康隆达,大金重工,盛弘股份,*ST绿庭,天泽信息,鹏都农牧,*ST西水
2021-10-29,伊戈尔,大金重工,新元科技,天泽信息,湖北宜化,珈伟新能,新文化,康隆达,盛弘股份,*ST圣莱
2021-11-01,大金重工,伊戈尔,新元科技,中青宝,丰元股份,高澜股份,和胜股份,东方电缆,天泽信息,湖北宜化
2021-11-02,大金重工,新元科技,和胜股份,中青宝,高澜股份,*ST圣莱,晶澳科技,英维克,伊戈尔,贤丰控股
2021-11-03,凤凰光学,中青宝,新元科技,高澜股份,大金重工,和胜股份,丰元股份,吉鑫科技,泉峰汽车,世运电路
2021-11-04,凤凰光学,中青宝,清水源,泉峰汽车,丰元股份,吉鑫科技,和胜股份,大金重工,ST中天,新元科技
2021-11-05,凤凰光学,中青宝,清水源,大金重工,创业黑马,吉鑫科技,泉峰汽车,ST中天,佳创视讯,东方电缆
2021-11-08,凤凰光学,清水源,中青宝,大金重工,泉峰汽车,佳创视讯,吉鑫科技,欣锐科技,ST中天,创业黑马
2021-11-09,清水源,凤凰光学,中青宝,欣锐科技,创业黑马,泉峰汽车,吉鑫科技,佳创视讯,丰元股份,龙磁科技
2021-11-10,清水源,中青宝,凤凰光学,欣锐科技,创业黑马,吉鑫科技,泉峰汽车,宁波精达,*ST圣莱,大金重工
2021-11-11,中青宝,清水源,佳创视讯,欣锐科技,凤凰光学,国科微,中文在线,吉鑫科技,中天科技,*ST德新
2021-11-12,中青宝,清水源,文山电力,中文在线,欣锐科技,中天科技,吉鑫科技,国科微,海达股份,泉峰汽车
2021-11-15,中青宝,清水源,欣锐科技,文山电力,沪光股份,翰宇药业,国科微,京泉华,中文在线,中天科技
2021-11-16,中青宝,清水源,欣锐科技,翰宇药业,佳创视讯,中天科技,沪光股份,瀚川智能,国科微,文山电力
2021-11-17,中青宝,欣锐科技,清水源,中天科技,瀚川智能,合力科技,佳创视讯,国科微,沪光股份,翰宇药业
2021-11-18,中青宝,欣锐科技,中天科技,国科微,沪光股份,合力科技,瀚川智能,恒信东方,金银河,佳创视讯
