,股票名称,股票代码,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手
0,长江健康,002435.SZ,True,2021-09-29,4.72,2021-11-05,4.78,2021-10-12,5.35,,,,False,,,,
1,三祥新材,603663.SH,True,2021-10-12,18.78,2021-11-05,19.0,2021-10-26,21.64,23.89,21.64,,True,,,,
2,雅克科技,002409.SZ,True,2021-10-12,72.77,2021-10-28,73.98,2021-10-22,77.2,79.83,77.2,,True,,,,
3,三友联众,300932.SZ,True,2021-10-12,31.05,2021-10-29,31.3,2021-10-26,34.45,39.7,34.45,,True,,,,
4,新乡化纤,000949.SZ,True,2021-09-29,5.88,2021-11-16,5.8,2021-10-21,7.39,,,,False,,,,
5,富煌钢构,002743.SZ,True,2021-10-26,5.96,2021-10-28,6.02,2021-10-27,6.24,,,,False,,,,
6,南兴股份,002757.SZ,True,2021-10-13,13.47,2021-10-28,13.52,2021-10-26,14.15,14.9,14.15,,True,,,,
7,爱玛科技,603529.SH,True,2021-09-29,35.55,2021-10-29,35.78,2021-10-20,39.51,48.36,39.51,,True,,,,
8,三夫户外,002780.SZ,True,2021-09-29,15.74,2021-11-04,16.01,2021-10-11,17.56,18.19,17.56,,True,,,,
9,青农商行,002958.SZ,True,2021-10-28,3.8,2021-11-10,3.78,2021-11-01,3.84,,,,False,,,,
10,新五丰,600975.SH,True,2021-10-15,6.4,2021-11-30,6.35,2021-10-19,7.22,,,,False,,,,
11,海昌新材,300885.SZ,True,2021-09-29,17.36,2021-10-28,17.5,2021-10-26,18.94,21.97,18.94,,True,,,,
12,圣邦股份,300661.SZ,True,2021-10-12,310.06,2021-10-27,311.8,2021-10-15,343.18,,,,False,,,,
13,奥特迅,002227.SZ,True,2021-10-22,14.5,2021-10-28,14.76,2021-10-26,15.2,18.46,15.2,,True,,,,
14,迈克生物,300463.SZ,True,2021-10-25,27.19,2021-10-28,27.49,2021-10-27,28.24,31.25,28.24,,True,,,,
15,云意电气,300304.SZ,True,2021-09-29,5.76,2021-10-28,5.77,2021-10-26,6.14,7.55,6.14,,True,,,,
16,胜宏科技,300476.SZ,True,2021-10-29,26.32,2021-11-10,26.2,2021-11-04,28.03,30.56,28.03,,True,,,,
17,金晶科技,600586.SH,True,2021-11-08,9.02,2021-11-16,8.98,2021-11-12,9.34,,,,False,,,,
18,开元教育,300338.SZ,True,2021-10-12,5.16,2021-11-04,5.17,2021-10-15,7.58,,,,False,,,,
19,徐工机械,000425.SZ,True,2021-11-02,5.94,2021-11-30,5.93,2021-11-08,6.14,,,,False,,,,
20,一汽解放,000800.SZ,True,2021-10-28,10.29,2021-11-29,10.24,2021-11-08,10.7,,,,False,,,,
21,和达科技,688296.SH,True,2021-09-29,43.37,2021-11-02,43.42,2021-10-11,51.78,,,,False,,,,
22,祥和实业,603500.SH,True,2021-10-25,8.44,2021-11-05,8.59,2021-11-01,8.86,9.59,8.86,,True,,,,
23,三聚环保,300072.SZ,True,2021-10-26,6.0,2021-10-27,6.0,2021-10-26,6.0,7.29,6.0,,True,,,,
24,农业银行,601288.SH,True,2021-11-04,2.92,2021-11-10,2.91,2021-11-04,2.92,,,,False,,,,
25,张家港行,002839.SZ,True,2021-09-30,5.68,2021-11-30,5.67,2021-11-01,6.27,,,,False,,,,
26,南天信息,000948.SZ,True,2021-09-29,12.06,2021-11-02,12.1,2021-10-20,13.93,15.99,13.93,,True,,,,
27,中国宝安,000009.SZ,True,2021-10-12,16.68,2021-11-16,16.93,2021-10-28,21.55,,,,False,,,,
28,兴发集团,600141.SH,True,2021-10-12,38.46,2021-11-25,38.13,2021-11-01,52.75,,,,False,,,,
29,太原重工,600169.SH,True,2021-10-28,2.76,2021-11-16,2.71,2021-11-08,2.92,3.09,2.92,True,True,5.102,True,63867389,29526556.871794872
30,杭州热电,605011.SH,True,2021-09-29,22.76,2021-11-29,23.13,2021-10-19,30.71,,,,False,,,,
31,华懋科技,603306.SH,True,2021-10-21,31.12,2021-10-28,31.72,2021-10-25,33.28,38.83,33.28,,True,,,,
32,深科技,000021.SZ,True,2021-09-30,14.05,2021-10-27,14.17,2021-10-13,14.97,15.45,14.97,,True,,,,
33,长青股份,002391.SZ,True,2021-09-29,6.92,2021-10-29,7.03,2021-10-21,7.45,8.08,7.45,,True,,,,
34,东方材料,603110.SH,True,2021-09-29,29.45,2021-11-02,29.94,2021-10-19,32.45,37.76,32.45,,True,,,,
35,毅昌股份,002420.SZ,True,2021-10-15,6.03,2021-11-05,6.11,2021-10-20,7.39,8.45,7.39,,True,,,,
36,金浦钛业,000545.SZ,True,2021-11-05,3.76,2021-11-16,3.72,2021-11-11,3.85,4.04,3.85,,True,,,,
