,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
0,688613,N奥精,95.01,78.58,478.27,232165.0,2020331600.0,115.4,96.96,78.0,80.02,16.43,,84.73,175.05,11.1,12668000063.0,2603195237.0
1,688359,N三孚,39.0,27.97,253.58,165624.0,502405856.0,106.26,39.0,27.28,30.0,11.03,,79.26,71.25,7.17,3595020000.0,814968765.0
2,300588,熙菱信息,10.3,1.72,20.05,208220.0,208600068.0,20.75,10.3,8.52,8.52,8.58,4.5,19.84,21.12,5.7,1705721200.0,1081036243.0
3,300546,雄帝科技,17.39,2.9,20.01,103038.0,171006609.0,21.33,17.39,14.3,14.3,14.49,2.14,12.05,-95.39,2.83,2375608773.0,1486763006.0
4,300745,欣锐科技,22.07,3.52,18.98,98165.0,206046998.0,20.27,22.26,18.5,18.51,18.55,8.08,15.29,163.23,3.05,2529053209.0,1417302626.0
5,300970,华绿生物,66.69,8.96,15.52,50106.0,323287488.0,18.52,68.38,57.69,57.72,57.73,5.97,34.34,31.59,2.64,3891361500.0,973007100.0
6,300513,恒实科技,9.81,1.21,14.07,209411.0,197802448.0,16.28,10.0,8.6,8.62,8.6,7.9,8.85,153.12,1.21,3077310231.0,2322179075.0
7,300157,恒泰艾普,5.28,0.63,13.55,489878.0,251007136.0,15.27,5.37,4.66,4.66,4.65,1.57,6.93,-17.51,4.27,3759957997.0,3733279841.0
8,300202,*ST 聚龙,4.75,0.54,12.83,373899.0,171958881.0,15.68,4.88,4.22,4.22,4.21,1.19,8.37,78.97,1.6,2610144000.0,2120742979.0
9,300207,欣旺达,25.76,2.56,11.03,714064.0,1783992368.0,10.73,25.88,23.39,23.39,23.2,2.11,5.08,78.92,5.8,40562391031.0,36236769564.0
10,600103,青山纸业,2.48,0.23,10.22,1511311.0,365699968.0,10.67,2.48,2.24,2.24,2.25,3.13,6.55,23.59,1.57,5718428161.0,5718428161.0
11,600355,精伦电子,2.81,0.26,10.2,914435.0,246886284.0,13.73,2.81,2.46,2.5,2.55,6.05,18.58,-655.61,5.34,1382770652.0,1382770652.0
12,600726,华电能源,2.72,0.25,10.12,1056044.0,278040736.0,12.15,2.72,2.42,2.46,2.47,1.11,6.88,170.85,8.37,5349356416.0,4174316411.0
13,603778,乾景园林,4.57,0.42,10.12,288449.0,126117879.0,11.81,4.57,4.08,4.1,4.15,1.22,5.77,-23.41,2.11,2937857139.0,2285000000.0
14,600354,敦煌种业,4.9,0.45,10.11,137257.0,66067973.0,9.89,4.9,4.46,4.48,4.45,0.6,2.6,39.95,4.13,2586230192.0,2586230192.0
15,000592,平潭发展,3.6,0.33,10.09,2295675.0,805870800.0,12.23,3.6,3.2,3.2,3.27,1.25,11.99,66.58,2.31,6954411211.0,6890172894.0
16,600963,岳阳林纸,6.44,0.59,10.09,1183025.0,736420224.0,10.43,6.44,5.83,5.83,5.85,1.44,6.55,17.4,1.33,11624542022.0,11624542022.0
17,002474,榕基软件,6.88,0.63,10.08,174328.0,117278698.0,9.76,6.88,6.27,6.31,6.25,0.83,3.65,76.41,2.68,4280736000.0,3289574098.0
18,000620,新华联,2.84,0.26,10.08,530908.0,143459785.0,12.4,2.84,2.52,2.56,2.58,2.01,2.8,-3.55,0.89,5386600793.0,5386375794.0
19,600610,中毅达,10.29,0.94,10.05,267254.0,267216457.0,8.88,10.29,9.46,10.29,9.35,3.67,5.96,121.06,97.76,11023415685.0,4616868065.0
20,600367,红星发展,9.2,0.84,10.05,243664.0,213272494.0,10.65,9.2,8.31,8.38,8.36,2.24,8.37,53.2,1.95,2718397140.0,2679040000.0
21,002862,实丰文化,13.15,1.2,10.04,115300.0,147814248.0,7.87,13.15,12.21,12.22,11.95,2.07,18.71,174.46,3.03,1578000000.0,810151617.0
22,002455,百川股份,8.0,0.73,10.04,880842.0,670202384.0,13.07,8.0,7.05,7.22,7.27,2.03,21.7,28.44,3.07,4170114360.0,3247834544.0
23,601969,海南矿业,8.11,0.74,10.04,641260.0,503196992.0,10.04,8.11,7.37,7.43,7.37,1.21,3.28,20.14,3.77,15852781747.0,15852781747.0
24,600956,新天绿能,14.25,1.3,10.04,495483.0,676880912.0,12.74,14.25,12.6,12.85,12.95,1.67,36.77,15.22,4.36,54861223143.0,1920187500.0
25,002451,摩恩电气,6.25,0.57,10.04,139051.0,84964073.0,9.51,6.25,5.71,5.72,5.68,2.93,3.17,258.71,3.88,2745000000.0,2742807038.0
26,002227,奥 特 迅,16.34,1.49,10.03,63951.0,103530035.0,2.83,16.34,15.92,15.92,14.85,1.51,2.9,-374.71,4.41,3604561516.0,3599870923.0
27,600793,宜宾纸业,13.27,1.21,10.03,152209.0,197933534.0,10.03,13.27,12.06,12.09,12.06,2.5,8.6,57.65,3.85,2347516107.0,2347516107.0
28,002178,延华智能,3.51,0.32,10.03,398457.0,136687718.0,11.29,3.51,3.15,3.19,3.19,2.54,5.6,-44.86,4.53,2499657034.0,2496510722.0
29,003016,欣贺股份,11.96,1.09,10.03,270324.0,316027392.0,10.21,11.96,10.85,10.89,10.87,2.47,25.34,13.49,1.69,5102933732.0,1275733732.0
30,000722,湖南发展,8.67,0.79,10.03,649007.0,554097952.0,8.12,8.67,8.03,8.08,7.88,1.69,13.98,49.33,1.31,4024252305.0,4024252305.0
31,600906,财达证券,14.05,1.28,10.02,346609.0,486985744.0,0.0,14.05,14.05,14.05,12.77,4.18,6.93,54.23,4.16,45592250000.0,7025000000.0
32,603906,龙蟠科技,23.71,2.16,10.02,118897.0,267168764.0,13.27,23.71,20.85,21.36,21.55,2.02,2.47,47.22,5.75,11430385956.0,11430385956.0
33,601919,中远海控,22.29,2.03,10.02,3341792.0,7179067136.0,9.58,22.29,20.35,20.65,20.26,1.19,3.86,4.42,4.59,273264906470.0,192971256944.0
34,600821,津劝业,5.71,0.52,10.02,512816.0,288115712.0,10.4,5.71,5.17,5.35,5.19,1.54,9.48,25.77,2.16,6974753654.0,3089959031.0
35,600335,国机汽车,5.71,0.52,10.02,305424.0,171367374.0,8.86,5.71,5.25,5.25,5.19,3.52,2.97,103.37,0.79,8318758254.0,5879797339.0
36,600327,大东方,6.04,0.55,10.02,141838.0,85670243.0,0.0,6.04,6.04,6.04,5.49,0.41,1.6,12.38,1.51,5344068289.0,5344068289.0
37,002114,罗平锌电,7.36,0.67,10.01,363858.0,259699515.0,10.01,7.36,6.69,6.74,6.69,1.43,11.25,57.76,1.64,2380189165.0,2380156457.0
38,605196,华通线缆,15.6,1.42,10.01,291042.0,445406448.0,5.64,15.6,14.8,14.99,14.18,23.39,38.29,119.03,3.77,7906424729.0,1185600000.0
39,002490,山东墨龙,8.46,0.77,10.01,583224.0,493002912.0,3.64,8.46,8.18,8.46,7.69,1.69,10.77,-15.43,4.04,6749797464.0,4582067130.0
40,000037,深南电A,8.9,0.81,10.01,192674.0,166636732.0,10.38,8.9,8.06,8.09,8.09,6.55,5.69,-102.54,2.63,5364587104.0,3016156698.0
41,600753,东方银星,36.37,3.31,10.01,356688.0,1251190368.0,8.2,36.37,33.66,34.88,33.06,5.04,19.9,720.08,28.91,6517504000.0,6517504000.0
42,600744,华银电力,9.12,0.83,10.01,2605114.0,2323018560.0,9.89,9.12,8.3,8.69,8.29,1.35,31.48,-39.66,5.53,16243853379.0,7548025746.0
43,002679,福建金森,14.07,1.28,10.01,135202.0,186425105.0,5.63,14.07,13.35,13.35,12.79,1.4,5.73,-51.32,4.49,3317086920.0,3317086920.0
44,002908,德生科技,18.58,1.69,10.01,378469.0,686405408.0,9.35,18.58,17.0,17.0,16.89,1.54,25.91,167.43,4.74,3730764931.0,2713650638.0
45,605339,南侨食品,32.55,2.96,10.0,6693.0,21784966.0,0.0,32.55,32.55,32.55,29.59,2.71,1.05,35.3,4.55,13785882361.0,2067882361.0
