,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比
0,002207.SZ,准油股份,11.13,9.98,0.48,26.45,1.81,6, 09:25:00, 09:25:00,3.79,0,采掘行业,6天6板,7.9
1,002800.SZ,天顺股份,23.03,9.98,0.23,23.09,1.0,5, 09:25:00, 09:25:00,1.25,0,物流行业,5天5板,5.39
2,603122.SH,合富中国,17.18,9.99,0.25,17.1,1.49,12, 09:25:03, 09:25:03,2.67,0,医疗器械,12天12板,10.49
3,603569.SH,长久物流,9.33,10.02,0.35,52.27,0.68,2, 09:25:04, 09:25:04,0.54,0,物流行业,2天2板,1.52
4,600190.SH,锦州港,4.63,9.98,0.38,82.39,0.46,5, 09:25:05, 09:25:05,1.51,0,航运港口,5天5板,3.99
5,603269.SH,海鸥股份,18.12,10.02,0.95,20.39,4.66,3, 09:25:05, 09:25:05,0.4,0,通用设备,3天3板,0.42
6,600798.SH,宁波海运,5.58,10.06,2.93,57.52,5.09,2, 09:30:00, 09:30:00,1.05,0,航运港口,4天3板,0.36
7,000637.SZ,茂化实华,6.08,9.95,1.08,22.37,4.85,2, 09:30:00, 09:30:00,0.91,0,石油行业,2天2板,0.84
8,002492.SZ,恒基达鑫,6.77,10.08,0.92,26.95,3.45,1, 09:30:09, 09:30:09,0.44,0,物流行业,1天1板,0.48
9,600768.SH,宁波富邦,13.6,10.03,1.43,18.19,7.89,3, 09:30:19, 09:30:19,0.85,0,有色金属,5天4板,0.6
10,002626.SZ,金达威,30.05,9.99,3.78,185.23,2.05,1, 09:30:33, 09:46:51,0.77,4,食品饮料,1天1板,0.2
11,600982.SH,宁波能源,7.85,9.94,7.65,58.63,13.17,6, 09:30:42, 09:41:06,0.95,3,电力行业,6天6板,0.12
12,000953.SZ,河化股份,7.58,10.01,2.0,24.25,8.34,3, 09:31:12, 09:39:54,0.54,1,化学制药,3天3板,0.27
13,002503.SZ,搜于特,1.76,10.0,5.3,44.76,12.05,2, 09:32:18, 09:35:09,0.71,2,纺织服装,2天2板,0.13
14,002162.SZ,悦心健康,7.02,10.03,6.26,59.91,10.61,2, 09:33:18, 09:41:54,0.4,4,装修建材,9天5板,0.06
15,301158.SZ,德石股份,41.4,20.0,5.71,14.76,40.02,2, 09:33:39, 09:36:42,1.02,2,专用设备,2天2板,0.18
16,600051.SH,宁波联合,8.77,10.04,3.93,27.26,14.59,1, 09:33:57, 14:39:04,0.03,13,综合行业,1天1板,0.01
17,002379.SZ,宏创控股,3.7,10.12,0.99,34.28,2.93,1, 09:34:18, 09:34:18,0.49,0,有色金属,1天1板,0.49
18,600077.SH,宋都股份,3.6,10.09,2.27,48.24,4.79,3, 09:36:18, 09:46:45,0.31,2,房地产开,3天3板,0.14
19,002164.SZ,宁波东力,6.33,10.09,0.76,30.0,2.57,1, 09:36:27, 09:36:27,0.38,0,通用设备,1天1板,0.5
20,600113.SH,浙江东日,11.35,9.98,6.5,46.7,14.15,2, 09:37:15, 09:49:15,0.59,6,综合行业,5天4板,0.09
21,002210.SZ,飞马国际,3.3,10.0,0.76,87.76,0.89,1, 09:38:42, 09:38:42,0.3,0,物流行业,1天1板,0.4
22,600792.SH,云煤能源,4.72,10.02,2.15,46.72,4.7,2, 09:39:06, 09:39:06,0.39,0,煤炭行业,2天2板,0.18
23,601101.SH,昊华能源,9.91,9.99,7.6,118.92,6.47,1, 09:39:10, 10:17:47,0.37,2,煤炭行业,1天1板,0.05
24,603700.SH,宁水集团,21.87,10.01,2.78,44.45,6.36,2, 09:41:46, 10:20:08,0.15,12,仪器仪表,2天2板,0.05
25,601598.SH,中国外运,4.84,10.0,4.01,65.42,6.32,1, 09:42:54, 09:42:54,1.01,0,物流行业,1天1板,0.25
26,301063.SZ,海锅股份,44.64,20.0,4.29,8.91,49.65,1, 09:44:24, 13:54:51,0.1,3,通用设备,1天1板,0.02
27,600250.SH,南纺股份,6.42,9.93,1.37,17.34,8.01,1, 09:45:15, 14:49:56,0.01,10,贸易行业,1天1板,0.0
28,001202.SZ,炬申股份,18.91,10.01,1.02,6.1,17.03,1, 09:45:27, 09:45:33,0.23,1,物流行业,1天1板,0.23
29,603003.SH,龙宇燃油,9.56,10.01,3.36,38.47,8.92,1, 09:45:36, 09:49:48,0.52,2,贸易行业,1天1板,0.16
30,002629.SZ,仁智股份,5.68,10.08,5.66,19.57,29.38,2, 09:48:18, 10:32:06,0.27,8,采掘行业,6天5板,0.05
31,601008.SH,连云港,4.83,10.02,5.34,48.51,11.33,1, 09:51:00, 10:14:03,0.39,5,航运港口,1天1板,0.07
32,000151.SZ,中成股份,10.65,10.02,4.64,28.39,17.1,2, 09:55:18, 09:55:18,0.54,0,贸易行业,5天3板,0.12
33,600575.SH,淮河能源,3.6,10.09,6.43,139.91,4.74,1, 09:55:33, 10:10:24,0.95,2,物流行业,9天6板,0.15
34,603360.SH,百傲化学,13.21,9.99,0.77,33.8,2.34,1, 09:57:15, 09:57:15,0.26,0,农药兽药,1天1板,0.34
35,001313.SZ,粤海饲料,15.55,9.97,8.57,15.55,58.39,2, 09:58:00, 10:47:45,0.42,3,农牧饲渔,12天10板,0.05
36,002546.SZ,新联电子,5.28,10.0,7.93,41.65,19.86,1, 09:58:33, 14:52:21,0.02,19,电网设备,3天2板,0.0
37,600753.SH,东方银星,16.09,9.98,1.62,34.6,4.84,1, 10:02:30, 10:02:30,0.33,0,贸易行业,1天1板,0.21
38,003003.SZ,天元股份,12.32,10.0,0.97,11.47,8.77,1, 10:05:54, 10:05:54,0.33,0,包装材料,1天1板,0.34
39,600844.SH,丹化科技,4.11,9.89,3.31,33.81,9.95,1, 10:07:13, 10:40:26,0.15,1,化学原料,1天1板,0.04
40,600272.SH,开开实业,12.1,10.0,3.43,19.36,18.24,2, 10:15:12, 10:15:12,0.21,0,医药商业,2天2板,0.06
41,301201.SZ,诚达药业,133.97,20.0,12.45,29.5,45.88,1, 10:16:54, 10:19:12,1.05,2,医疗服务,1天1板,0.08
42,000407.SZ,胜利股份,4.99,9.91,7.03,43.7,16.49,1, 10:24:33, 13:44:48,0.1,13,燃气,1天1板,0.01
43,002366.SZ,台海核电,5.83,10.0,9.75,35.25,28.15,3, 10:31:15, 10:37:06,0.71,3,电源设备,3天3板,0.07
44,600724.SH,宁波富达,4.68,10.12,1.79,67.62,2.73,1, 10:35:02, 10:35:02,0.44,0,水泥建材,1天1板,0.25
45,600202.SH,哈空调,7.18,9.95,6.85,27.52,25.56,2, 10:47:54, 14:39:49,0.2,6,电源设备,5天3板,0.03
46,600358.SH,国旅联合,6.5,9.98,2.83,32.82,8.95,1, 10:58:03, 10:58:03,0.38,0,文化传媒,1天1板,0.13
47,603963.SH,大理药业,9.16,9.96,2.05,20.12,10.78,2, 11:16:37, 14:23:13,0.27,1,中药,2天2板,0.13
48,601188.SH,龙江交通,3.92,10.11,1.37,51.58,2.75,1, 11:23:31, 11:23:31,0.54,0,铁路公路,1天1板,0.4
49,600853.SH,龙建股份,3.44,9.9,1.49,34.57,4.49,1, 11:25:27, 11:25:27,0.41,0,工程建设,1天1板,0.27
50,000593.SZ,德龙汇能,7.06,9.97,1.83,25.31,7.48,1, 11:27:00, 11:27:00,0.52,0,燃气,1天1板,0.29
51,603132.SH,金徽股份,20.48,9.99,10.33,20.07,52.95,1, 11:27:03, 14:31:29,0.06,4,有色金属,8天5板,0.01
52,600981.SH,汇鸿集团,3.67,9.88,2.76,82.3,3.45,1, 13:00:04, 14:05:49,0.28,4,贸易行业,1天1板,0.1
53,603967.SH,中创物流,14.47,10.04,2.37,13.5,18.04,1, 13:01:04, 14:54:25,0.1,2,物流行业,1天1板,0.04
54,601880.SH,辽港股份,2.06,10.16,13.44,359.77,3.9,1, 13:03:49, 13:03:49,1.94,0,航运港口,1天1板,0.14
55,301235.SZ,华康医疗,58.92,20.0,5.06,13.71,39.75,1, 13:07:12, 13:07:12,0.73,0,医疗服务,3天2板,0.14
56,600056.SH,中国医药,13.43,9.99,13.85,143.45,10.02,2, 13:09:56, 13:09:56,1.81,0,医药商业,2天2板,0.13
57,000595.SZ,宝塔实业,3.92,10.11,2.88,44.53,6.92,1, 13:13:03, 13:13:03,0.25,0,通用设备,8天4板,0.09
58,600735.SH,新华锦,9.54,10.03,8.34,35.87,24.52,2, 13:17:10, 13:56:40,0.25,5,纺织服装,2天2板,0.03
59,002758.SZ,浙农股份,17.91,10.01,6.82,34.93,20.53,1, 13:20:51, 13:20:51,0.64,0,综合行业,10天5板,0.09
60,002639.SZ,雪人股份,11.76,10.01,14.46,65.7,23.35,1, 13:29:42, 13:29:42,1.48,0,通用设备,1天1板,0.1
61,600860.SH,京城股份,19.35,10.01,8.99,62.31,15.12,1, 13:32:34, 13:34:22,0.38,2,通用设备,6天3板,0.04
62,002349.SZ,精华制药,15.33,9.97,21.32,127.54,17.42,1, 13:46:48, 14:03:03,0.63,3,中药,1天1板,0.03
63,600277.SH,亿利洁能,6.42,9.93,17.99,228.59,8.15,1, 13:48:22, 13:48:22,1.05,0,化学原料,1天1板,0.06
64,603871.SH,嘉友国际,24.43,10.0,4.46,69.72,6.61,2, 13:48:34, 15:00:00,0.01,4,物流行业,2天2板,0.0
