,ΘΥΖΪ,ΉΙΖ±΄ϊΒλ,Γϋ³Ζ,ΚΥΕΜΌΫ,ΧξΈίΌΫ,ΧξµΝΌΫ,ΏªΕΜΌΫ,Η°ΚΥΕΜ,ΥΗµψ¶ξ,ΥΗµψ·ω,»»ΚΦΒΚ,³Ι½»ΑΏ,³Ι½»½π¶ξ,ΧάΚΠΦµ,ΑχΝ¨ΚΠΦµ
0,1999-12-16,sh600217,ΗΨΑλΛ®Δΰ,7.98,9.08,7.95,9.0,5.9,2.08,35.2542,46.6377,29381742,245362725.0,1647870000.0,502740000.0
1,1999-12-17,sh600217,ΗΨΑλΛ®Δΰ,7.89,8.0,7.82,7.88,7.98,-0.09,-1.1278,7.6326,4808530,37863050.0,1629285000.0,497070000.0
2,1999-12-21,sh600217,ΗΨΑλΛ®Δΰ,7.53,7.8,7.51,7.8,7.89,-0.36,-4.5627,4.6628,2937585,22314162.0,1554945000.0,474390000.0
3,1999-12-22,sh600217,ΗΨΑλΛ®Δΰ,7.64,7.7,7.46,7.5,7.53,0.11,1.4608,2.3868,1503658,11404650.0,1577660000.0,481320000.0
4,1999-12-23,sh600217,ΗΨΑλΛ®Δΰ,7.3,7.6,7.28,7.6,7.64,-0.34,-4.4503,2.8669,1806152,13337690.0,1507450000.0,459900000.0
5,1999-12-24,sh600217,ΗΨΑλΛ®Δΰ,7.22,7.4,7.2,7.3,7.3,-0.08,-1.0959,1.6448,1036250,7510854.0,1490930000.0,454860000.0
6,1999-12-27,sh600217,ΗΨΑλΛ®Δΰ,7.17,7.29,7.1,7.22,7.22,-0.05,-0.6925,1.4279,899600,6490004.0,1480605000.0,451710000.0
7,1999-12-28,sh600217,ΗΨΑλΛ®Δΰ,7.23,7.48,7.16,7.18,7.17,0.06,0.8368,1.7025,1072600,7810887.0,1492995000.0,455490000.0
8,1999-12-29,sh600217,ΗΨΑλΛ®Δΰ,7.35,7.35,7.15,7.26,7.23,0.12,1.6598,1.4735,928315,6710146.0,1517775000.0,463050000.0
9,1999-12-30,sh600217,ΗΨΑλΛ®Δΰ,7.31,7.45,7.25,7.35,7.35,-0.04,-0.5442,1.2626,795409,5856174.0,1509515000.0,460530000.0
10,2000-01-04,sh600217,ΗΨΑλΛ®Δΰ,7.46,7.55,7.19,7.31,7.31,0.15,2.052,3.0401,1915246,14129877.0,1540490000.0,469980000.0
11,2000-01-05,sh600217,ΗΨΑλΛ®Δΰ,7.39,7.55,7.35,7.49,7.46,-0.07,-0.9383,2.9205,1839920,13732024.0,1526035000.0,465570000.0
12,2000-01-06,sh600217,ΗΨΑλΛ®Δΰ,7.73,7.76,7.36,7.37,7.39,0.34,4.6008,5.3114,3346177,25523471.0,1596245000.0,486990000.0
13,2000-01-07,sh600217,ΗΨΑλΛ®Δΰ,8.09,8.1,7.79,7.88,7.73,0.36,4.6572,11.0167,6940546,55113874.0,1670585000.0,509670000.0
14,2000-01-10,sh600217,ΗΨΑλΛ®Δΰ,8.33,8.33,8.01,8.2,8.09,0.24,2.9666,11.2651,7097036,58011651.0,1720145000.0,524790000.0
15,2000-01-11,sh600217,ΗΨΑλΛ®Δΰ,7.88,8.38,7.81,8.33,8.33,-0.45,-5.4022,6.5321,4115200,33284083.0,1627220000.0,496440000.0
16,2000-01-12,sh600217,ΗΨΑλΛ®Δΰ,7.68,7.98,7.65,7.81,7.88,-0.2,-2.5381,3.2092,2021787,15708859.0,1585920000.0,483840000.0
17,2000-01-13,sh600217,ΗΨΑλΛ®Δΰ,7.62,7.8,7.53,7.61,7.68,-0.06,-0.7813,1.8214,1147460,8759154.0,1573530000.0,480060000.0
18,2000-01-14,sh600217,ΗΨΑλΛ®Δΰ,7.44,7.66,7.38,7.65,7.62,-0.18,-2.3622,1.4062,885878,6653661.0,1536360000.0,468720000.0
19,2000-01-17,sh600217,ΗΨΑλΛ®Δΰ,7.69,7.73,7.38,7.4,7.44,0.25,3.3602,1.5456,973698,7420692.0,1587985000.0,484470000.0
20,2000-01-18,sh600217,ΗΨΑλΛ®Δΰ,7.61,7.77,7.5,7.71,7.69,-0.08,-1.0403,1.3365,841990,6439047.0,1571465000.0,479430000.0
21,2000-01-19,sh600217,ΗΨΑλΛ®Δΰ,7.73,7.8,7.55,7.58,7.61,0.12,1.5769,0.965,607970,4675127.0,1596245000.0,486990000.0
22,2000-01-20,sh600217,ΗΨΑλΛ®Δΰ,7.82,7.85,7.61,7.73,7.73,0.09,1.1643,1.4576,918269,7121723.0,1614830000.0,492660000.0
23,2000-01-21,sh600217,ΗΨΑλΛ®Δΰ,7.62,7.85,7.59,7.8,7.82,-0.2,-2.5575,2.097,1321098,10118137.0,1573530000.0,480060000.0
24,2000-01-24,sh600217,ΗΨΑλΛ®Δΰ,7.92,7.97,7.66,7.68,7.62,0.3,3.937,3.3696,2122817,16719409.0,1635480000.0,498960000.0
25,2000-01-25,sh600217,ΗΨΑλΛ®Δΰ,8.0,8.2,7.96,7.97,7.92,0.08,1.0101,4.4537,2805850,22655869.0,1652000000.0,504000000.0
26,2000-01-26,sh600217,ΗΨΑλΛ®Δΰ,7.93,8.0,7.85,7.98,8.0,-0.07,-0.875,1.5996,1007747,7967442.0,1637545000.0,499590000.0
27,2000-01-27,sh600217,ΗΨΑλΛ®Δΰ,8.02,8.16,7.94,7.94,7.93,0.09,1.1349,2.7752,1748351,14026242.0,1656130000.0,505260000.0
28,2000-01-28,sh600217,ΗΨΑλΛ®Δΰ,7.98,8.08,7.82,8.02,8.02,-0.04,-0.4988,3.0432,1917232,15181500.0,1647870000.0,502740000.0
29,2000-02-14,sh600217,ΗΨΑλΛ®Δΰ,8.78,8.78,8.1,8.2,7.98,0.8,10.0251,9.317,5869710,50270547.0,1813070000.0,553140000.0
30,2000-02-15,sh600217,ΗΨΑλΛ®Δΰ,8.4,8.99,8.36,8.92,8.78,-0.38,-4.328,10.4403,6577392,57552886.0,1734600000.0,529200000.0
31,2000-02-16,sh600217,ΗΨΑλΛ®Δΰ,8.43,8.57,8.3,8.4,8.4,0.03,0.3571,5.6658,3569427,30031114.0,1740795000.0,531090000.0
32,2000-02-17,sh600217,ΗΨΑλΛ®Δΰ,8.16,8.84,8.0,8.47,8.43,-0.27,-3.2028,6.0448,3808250,31818186.0,1685040000.0,514080000.0
33,2000-02-18,sh600217,ΗΨΑλΛ®Δΰ,8.25,8.25,7.5,8.0,8.16,0.09,1.1029,7.4441,5210846,40749115.0,1703625000.0,577500000.0
34,2000-02-21,sh600217,ΗΨΑλΛ®Δΰ,8.43,8.54,8.05,8.21,8.25,0.18,2.1818,6.1125,4278746,35559053.0,1740795000.0,590100000.0
35,2000-02-22,sh600217,ΗΨΑλΛ®Δΰ,8.15,8.63,8.05,8.5,8.43,-0.28,-3.3215,3.9737,2781579,23304276.0,1682975000.0,570500000.0
36,2000-02-23,sh600217,ΗΨΑλΛ®Δΰ,8.05,8.11,7.92,8.0,8.15,-0.1,-1.227,2.3374,1636176,13131166.0,1662325000.0,563500000.0
37,2000-02-24,sh600217,ΗΨΑλΛ®Δΰ,8.08,8.16,7.98,8.15,8.05,0.03,0.3727,2.0941,1465856,11790474.0,1668520000.0,565600000.0
38,2000-02-25,sh600217,ΗΨΑλΛ®Δΰ,8.0,8.08,7.95,8.06,8.08,-0.08,-0.9901,2.801,1960730,15678579.0,1652000000.0,560000000.0
39,2000-02-28,sh600217,ΗΨΑλΛ®Δΰ,8.18,8.3,7.98,8.0,8.0,0.18,2.25,2.6096,1826700,14913949.0,1689170000.0,572600000.0
40,2000-02-29,sh600217,ΗΨΑλΛ®Δΰ,8.4,8.48,8.13,8.2,8.18,0.22,2.6895,5.8429,4090013,34054505.0,1734600000.0,588000000.0
41,2000-03-01,sh600217,ΗΨΑλΛ®Δΰ,8.41,8.69,8.3,8.44,8.4,0.01,0.119,4.3751,3062577,25975112.0,1736665000.0,588700000.0
42,2000-03-02,sh600217,ΗΨΑλΛ®Δΰ,8.46,8.57,8.26,8.43,8.41,0.05,0.5945,2.7432,1920269,16129017.0,1746990000.0,592200000.0
43,2000-03-03,sh600217,ΗΨΑλΛ®Δΰ,9.31,9.31,8.52,8.52,8.46,0.85,10.0473,21.3769,14963825,136679028.0,1922515000.0,651700000.0
44,2000-03-06,sh600217,ΗΨΑλΛ®Δΰ,9.58,10.24,9.51,9.6,9.31,0.27,2.9001,33.4449,23411416,232393570.0,1978270000.0,670600000.0
45,2000-03-07,sh600217,ΗΨΑλΛ®Δΰ,10.07,10.2,9.3,9.47,9.58,0.49,5.1148,14.0304,9821292,96727710.0,2079455000.0,704900000.0
46,2000-03-08,sh600217,ΗΨΑλΛ®Δΰ,10.0,10.4,9.77,10.1,10.07,-0.07,-0.6951,10.9036,7632515,76776450.0,2065000000.0,700000000.0
47,2000-03-09,sh600217,ΗΨΑλΛ®Δΰ,9.93,10.18,9.81,10.07,10.0,-0.07,-0.7,5.5692,3898453,38814708.0,2050545000.0,695100000.0
