,ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
0,1994-01-28,sh600819,Ò«Æ¤²£Á§,14.7,16.5,14.63,16.0,6.8,7.9,116.1765,19.2115,4310300,67457000.0,4263000000.0,329809200.0
1,1994-01-31,sh600819,Ò«Æ¤²£Á§,14.05,14.5,13.7,14.1,14.7,-0.65,-4.4218,5.3138,1192200,16774000.0,4074500000.0,315225800.0
2,1994-02-01,sh600819,Ò«Æ¤²£Á§,13.8,14.28,13.5,13.8,14.05,-0.25,-1.7794,3.2479,728700,10145000.0,4002000000.0,309616800.0
3,1994-02-02,sh600819,Ò«Æ¤²£Á§,14.37,14.38,13.8,13.82,13.8,0.57,4.1304,2.5174,564800,7980000.0,4167300000.0,322405320.0
4,1994-02-03,sh600819,Ò«Æ¤²£Á§,14.35,14.6,14.15,14.37,14.37,-0.02,-0.1392,3.7177,834100,12013000.0,4161500000.0,321956600.0
5,1994-02-04,sh600819,Ò«Æ¤²£Á§,14.45,14.8,14.0,14.4,14.35,0.1,0.6969,3.9343,882700,12705000.0,4190500000.0,324200200.0
6,1994-02-14,sh600819,Ò«Æ¤²£Á§,13.9,14.93,13.01,14.8,14.45,-0.55,-3.8062,2.705,606900,8664000.0,4031000000.0,311860400.0
7,1994-02-15,sh600819,Ò«Æ¤²£Á§,13.4,13.8,13.2,13.8,13.9,-0.5,-3.5971,1.4437,323900,4363000.0,3886000000.0,300642400.0
8,1994-02-16,sh600819,Ò«Æ¤²£Á§,13.41,13.6,13.31,13.55,13.4,0.01,0.0746,0.7381,165600,2226000.0,3888900000.0,300866760.0
9,1994-02-17,sh600819,Ò«Æ¤²£Á§,13.2,13.4,13.1,13.3,13.41,-0.21,-1.566,0.6592,147900,2009000.0,3828000000.0,296155200.0
10,1994-02-18,sh600819,Ò«Æ¤²£Á§,13.2,13.4,13.02,13.1,13.2,0.0,0.0,0.5772,129500,1705000.0,3828000000.0,296155200.0
11,1994-02-21,sh600819,Ò«Æ¤²£Á§,12.7,13.28,12.6,13.22,13.2,-0.5,-3.7879,0.7796,174900,2256000.0,3683000000.0,284937200.0
12,1994-02-22,sh600819,Ò«Æ¤²£Á§,13.23,13.37,12.5,12.57,12.7,0.53,4.1732,2.106,472500,6177000.0,3836700000.0,296828280.0
13,1994-02-23,sh600819,Ò«Æ¤²£Á§,12.86,13.3,12.8,13.23,13.23,-0.37,-2.7967,0.9275,208100,2691000.0,3729400000.0,288526960.0
14,1994-02-24,sh600819,Ò«Æ¤²£Á§,12.95,13.0,12.22,12.75,12.86,0.09,0.6998,1.2373,277600,3531000.0,3755500000.0,290546200.0
