,хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
0,2018-03-01,sh600901,NкувБ,9.0,9.0,7.5,7.5,6.25,2.75,44.0,0.1125,719729,6463311.0,26879849712.0,5759997300.0
1,2018-03-02,sh600901,╫╜кувБач,9.9,9.9,9.9,9.9,9.0,0.9,10.0,0.1454,930444,9211396.0,29567834683.2,6335997030.0
2,2018-03-05,sh600901,╫╜кувБач,10.89,10.89,10.31,10.89,9.9,0.99,10.0,39.0034,249621357,2671782681.0,32524618151.5,6969596733.0
3,2018-03-06,sh600901,╫╜кувБач,11.98,11.98,11.28,11.3,10.89,1.09,10.0092,21.8196,139645140,1618029230.0,35780066616.6,7667196406.0
4,2018-03-07,sh600901,╫╜кувБач,11.79,12.75,11.11,12.0,11.98,-0.19,-1.586,49.9283,319540882,3724494612.0,35212603122.7,7545596463.0
5,2018-03-08,sh600901,╫╜кувБач,11.48,11.94,11.22,11.46,11.79,-0.31,-2.6293,26.4227,169105295,1951570552.0,34286741632.6,7347196556.0
6,2018-03-09,sh600901,╫╜кувБач,11.72,11.97,11.35,11.35,11.48,0.24,2.0906,28.255,180832157,2115999246.0,35003537625.0,7500796484.0
7,2018-03-12,sh600901,╫╜кувБач,12.43,12.82,11.52,11.83,11.72,0.71,6.058,33.6905,215618846,2607583478.0,37124059102.2,7955196271.0
8,2018-03-13,sh600901,╫╜кувБач,11.69,12.33,11.66,12.2,12.43,-0.74,-5.9533,26.5489,169913018,2028991564.0,34913938125.9,7481596493.0
9,2018-03-14,sh600901,╫╜кувБач,11.6,11.77,11.37,11.56,11.69,-0.09,-0.7699,14.2174,90991148,1054120117.0,34645139628.8,7423996520.0
10,2018-03-15,sh600901,╫╜кувБач,10.96,11.5,10.71,11.41,11.6,-0.64,-5.5172,20.1346,128861613,1426941777.0,32733683649.3,7014396712.0
11,2018-03-16,sh600901,╫╜кувБач,10.99,11.2,10.9,10.97,10.96,0.03,0.2737,10.1611,65030759,718931770.0,32823283148.3,7033596703.0
12,2018-03-19,sh600901,╫╜кувБач,11.06,11.19,10.72,10.98,10.99,0.07,0.6369,9.9013,63368080,695248347.0,33032348646.1,7078396682.0
13,2018-03-20,sh600901,╫╜кувБач,10.85,10.96,10.71,10.8,11.06,-0.21,-1.8987,9.0649,58015137,627561822.0,32405152152.8,6943996745.0
14,2018-03-21,sh600901,╫╜кувБач,10.89,11.33,10.78,10.79,10.85,0.04,0.3687,13.1869,84396060,935420223.0,32524618151.5,6969596733.0
15,2018-03-22,sh600901,╫╜кувБач,10.68,10.96,10.58,10.86,10.89,-0.21,-1.9284,10.9251,69920531,749872231.0,31897421658.2,6835196796.0
16,2018-03-23,sh600901,╫╜кувБач,9.61,10.25,9.61,10.14,10.68,-1.07,-10.0187,15.8227,101265389,1002117224.0,28701706192.5,6150397117.0
17,2018-03-26,sh600901,╫╜кувБач,9.61,9.65,9.01,9.25,9.61,0.0,0.0,8.8992,56955032,533668454.0,28701706192.5,6150397117.0
18,2018-03-27,sh600901,╫╜кувБач,9.75,9.93,9.66,9.73,9.61,0.14,1.4568,9.1043,58267538,570073021.0,29119837188.0,6239997075.0
19,2018-03-28,sh600901,╫╜кувБач,9.86,10.25,9.41,9.55,9.75,0.11,1.1282,11.398,72946919,725665575.0,29448368684.5,6310397042.0
20,2018-03-29,sh600901,╫╜кувБач,9.91,9.99,9.75,9.84,9.86,0.05,0.5071,7.3088,46776320,462417933.0,29597701182.9,6342397027.0
21,2018-03-30,sh600901,╫╜кувБач,9.88,10.04,9.81,9.99,9.91,-0.03,-0.3027,6.7333,43093247,425453282.0,29508101683.8,6323197036.0
22,2018-04-02,sh600901,╫╜кувБач,9.68,9.91,9.64,9.84,9.88,-0.2,-2.0243,7.231,46278660,452890370.0,28910771690.2,6195197096.0
23,2018-04-03,sh600901,╫╜кувБач,9.46,9.54,9.35,9.48,9.68,-0.22,-2.2727,5.7754,36962731,348852728.0,28253708697.3,6054397162.0
24,2018-04-04,sh600901,╫╜кувБач,9.45,9.72,9.44,9.54,9.46,-0.01,-0.1057,5.5942,35802780,342061883.0,28223842197.6,6047997165.0
25,2018-04-09,sh600901,╫╜кувБач,9.74,9.84,9.23,9.3,9.45,0.29,3.0688,8.3739,53592696,511247266.0,29089970688.3,6233597078.0
26,2018-04-10,sh600901,╫╜кувБач,10.05,10.08,9.66,9.74,9.74,0.31,3.1828,11.4902,73537073,725834379.0,30015832178.4,6431996985.0
27,2018-04-11,sh600901,╫╜кувБач,9.93,10.15,9.9,10.08,10.05,-0.12,-1.194,8.7841,56218436,562050480.0,29657434182.2,6355197021.0
28,2018-04-12,sh600901,╫╜кувБач,10.92,10.92,10.06,10.1,9.93,0.99,9.9698,9.6398,61694590,658795744.0,32614217650.6,6988796724.0
29,2018-04-13,sh600901,╫╜кувБач,11.22,12.01,11.07,12.01,10.92,0.3,2.7473,37.2139,238169118,2772279951.0,33510212641.0,7180796634.0
30,2018-04-16,sh600901,╫╜кувБач,10.51,11.13,10.32,10.85,11.22,-0.71,-6.328,20.2926,129872638,1392271000.0,31389691163.7,6726396847.0
31,2018-04-17,sh600901,╫╜кувБач,9.99,10.51,9.95,10.41,10.51,-0.52,-4.9477,13.3168,85227699,872735733.0,29836633180.3,6393597003.0
32,2018-04-18,sh600901,╫╜кувБач,10.12,10.17,9.79,10.12,9.99,0.13,1.3013,10.3182,66036627,660288893.0,30224897676.2,6476796964.0
33,2018-04-19,sh600901,╫╜кувБач,9.93,10.1,9.92,10.01,10.12,-0.19,-1.8775,8.0668,51627195,516256667.0,29657434182.2,6355197021.0
34,2018-04-20,sh600901,╫╜кувБач,9.44,9.87,9.37,9.83,9.93,-0.49,-4.9345,9.9098,63422774,608456959.0,28193975697.9,6041597168.0
35,2018-04-23,sh600901,╫╜кувБач,9.57,9.6,9.33,9.42,9.44,0.13,1.3771,5.8938,37720491,356907471.0,28582240193.8,6124797129.0
36,2018-04-24,sh600901,╫╜кувБач,9.84,9.88,9.55,9.58,9.57,0.27,2.8213,8.0149,51295384,501540212.0,29388635685.1,6297597048.0
