,»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
0,2004-06-04,sh600966,N ≤©  ª„,0.0,0.0,0.0,0.0,11.2,,,,0,0.0,1232000000.0,0.0
1,2004-06-07,sh600966,N ≤©  ª„,0.0,0.0,0.0,0.0,11.2,,,,0,0.0,1232000000.0,0.0
2,2004-06-08,sh600966,N ≤©  ª„,13.97,14.4,12.51,12.51,11.2,2.77,24.7321,47.2315,33062053,450206038.0,2514600000.0,977900000.0
3,2004-06-09,sh600966,≤©ª„÷Ω“µ,12.68,13.76,12.58,13.58,13.97,-1.29,-9.2341,18.9201,13244058,173791253.0,2282400000.0,887600000.0
4,2004-06-10,sh600966,≤©ª„÷Ω“µ,11.7,12.5,11.45,12.5,12.68,-0.98,-7.7287,14.8662,10406335,124034527.0,2106000000.0,819000000.0
5,2004-06-11,sh600966,≤©ª„÷Ω“µ,11.75,12.24,11.7,11.7,11.7,0.05,0.4274,9.1705,6419379,76730831.0,2115000000.0,822500000.0
6,2004-06-14,sh600966,≤©ª„÷Ω“µ,11.23,11.69,11.18,11.69,11.75,-0.52,-4.4255,7.1294,4990577,56383037.0,2021400000.0,786100000.0
7,2004-06-15,sh600966,≤©ª„÷Ω“µ,11.29,11.45,11.0,11.2,11.23,0.06,0.5343,5.8643,4105032,45993105.0,2032200000.0,790300000.0
8,2004-06-16,sh600966,≤©ª„÷Ω“µ,11.31,11.42,11.13,11.26,11.29,0.02,0.1771,4.1254,2887773,32510270.0,2035800000.0,791700000.0
9,2004-06-17,sh600966,≤©ª„÷Ω“µ,11.33,11.66,11.25,11.33,11.31,0.02,0.1768,5.1252,3587606,40838565.0,2039400000.0,793100000.0
10,2004-06-18,sh600966,≤©ª„÷Ω“µ,11.0,11.33,10.88,11.3,11.33,-0.33,-2.9126,4.8812,3416858,37873806.0,1980000000.0,770000000.0
11,2004-06-21,sh600966,≤©ª„÷Ω“µ,11.45,11.55,10.72,10.9,11.0,0.45,4.0909,7.8166,5471610,61129303.0,2061000000.0,801500000.0
12,2004-06-22,sh600966,≤©ª„÷Ω“µ,11.6,11.95,11.35,11.5,11.45,0.15,1.31,9.4137,6589595,76971549.0,2088000000.0,812000000.0
13,2004-06-23,sh600966,≤©ª„÷Ω“µ,11.4,11.58,11.26,11.58,11.6,-0.2,-1.7241,3.8644,2705066,30770040.0,2052000000.0,798000000.0
14,2004-06-24,sh600966,≤©ª„÷Ω“µ,11.23,11.5,11.21,11.4,11.4,-0.17,-1.4912,3.111,2177678,24608740.0,2021400000.0,786100000.0
15,2004-06-25,sh600966,≤©ª„÷Ω“µ,10.72,11.3,10.7,11.18,11.23,-0.51,-4.5414,4.4732,3131258,34117726.0,1929600000.0,750400000.0
16,2004-06-28,sh600966,≤©ª„÷Ω“µ,10.02,10.8,9.7,10.65,10.72,-0.7,-6.5299,4.7228,3305953,33630355.0,1803600000.0,701400000.0
17,2004-06-29,sh600966,≤©ª„÷Ω“µ,10.22,10.32,9.8,9.8,10.02,0.2,1.996,3.1515,2206051,22223279.0,1839600000.0,715400000.0
18,2004-06-30,sh600966,≤©ª„÷Ω“µ,9.93,10.24,9.91,10.24,10.22,-0.29,-2.8376,1.9661,1376250,13840215.0,1787400000.0,695100000.0
19,2004-07-01,sh600966,≤©ª„÷Ω“µ,10.44,10.51,9.93,9.93,9.93,0.51,5.136,5.4941,3845840,39566337.0,1879200000.0,730800000.0
20,2004-07-02,sh600966,≤©ª„÷Ω“µ,10.2,10.38,10.03,10.38,10.44,-0.24,-2.2989,2.1764,1523503,15574258.0,1836000000.0,714000000.0
21,2004-07-05,sh600966,≤©ª„÷Ω“µ,10.35,10.36,10.14,10.2,10.2,0.15,1.4706,1.3565,949576,9741744.0,1863000000.0,724500000.0
22,2004-07-06,sh600966,≤©ª„÷Ω“µ,10.32,10.48,10.27,10.48,10.35,-0.03,-0.2899,1.8633,1304303,13528225.0,1857600000.0,722400000.0
23,2004-07-07,sh600966,≤©ª„÷Ω“µ,10.13,10.3,10.02,10.3,10.32,-0.19,-1.8411,1.5065,1054524,10669485.0,1823400000.0,709100000.0
24,2004-07-08,sh600966,≤©ª„÷Ω“µ,10.27,10.28,10.03,10.1,10.13,0.14,1.382,1.1648,815331,8279005.0,1848600000.0,718900000.0
25,2004-07-09,sh600966,≤©ª„÷Ω“µ,10.2,10.36,10.11,10.36,10.27,-0.07,-0.6816,1.0624,743695,7576768.0,1836000000.0,714000000.0
26,2004-07-12,sh600966,≤©ª„÷Ω“µ,9.93,10.08,9.78,10.08,10.2,-0.27,-2.6471,2.1469,1502838,14874658.0,1787400000.0,695100000.0
27,2004-07-13,sh600966,≤©ª„÷Ω“µ,9.9,9.94,9.75,9.85,9.93,-0.03,-0.3021,0.9159,641100,6310632.0,1782000000.0,693000000.0
28,2004-07-14,sh600966,≤©ª„÷Ω“µ,9.7,10.05,9.38,9.9,9.9,-0.2,-2.0202,2.6778,1874434,18042123.0,1746000000.0,679000000.0
29,2004-07-15,sh600966,≤©ª„÷Ω“µ,9.9,9.97,9.55,9.97,9.7,0.2,2.0619,1.8714,1309988,12798532.0,1782000000.0,693000000.0
30,2004-07-16,sh600966,≤©ª„÷Ω“µ,10.21,10.3,9.8,9.89,9.9,0.31,3.1313,3.6773,2574096,26042424.0,1837800000.0,714700000.0
31,2004-07-19,sh600966,≤©ª„÷Ω“µ,10.22,10.39,10.13,10.22,10.21,0.01,0.0979,2.8539,1997748,20591777.0,1839600000.0,715400000.0
32,2004-07-20,sh600966,≤©ª„÷Ω“µ,10.1,10.28,10.05,10.2,10.22,-0.12,-1.1742,1.6785,1174947,11880481.0,1818000000.0,707000000.0
33,2004-07-21,sh600966,≤©ª„÷Ω“µ,9.95,10.15,9.91,10.02,10.1,-0.15,-1.4851,1.6041,1122870,11263708.0,1791000000.0,696500000.0
34,2004-07-22,sh600966,≤©ª„÷Ω“µ,9.65,10.04,9.6,9.98,9.95,-0.3,-3.0151,1.5635,1094437,10705786.0,1737000000.0,675500000.0
35,2004-07-23,sh600966,≤©ª„÷Ω“µ,9.63,9.73,9.48,9.56,9.65,-0.02,-0.2073,1.1188,783150,7497873.0,1733400000.0,674100000.0
36,2004-07-26,sh600966,≤©ª„÷Ω“µ,9.31,9.63,9.24,9.63,9.63,-0.32,-3.3229,1.7878,1251447,11740438.0,1675800000.0,651700000.0
37,2004-07-27,sh600966,≤©ª„÷Ω“µ,8.96,9.39,8.91,9.3,9.31,-0.35,-3.7594,2.185,1529520,13855237.0,1612800000.0,627200000.0
38,2004-07-28,sh600966,≤©ª„÷Ω“µ,9.17,9.2,8.9,8.96,8.96,0.21,2.3438,1.193,835092,7518694.0,1650600000.0,641900000.0
39,2004-07-29,sh600966,≤©ª„÷Ω“µ,9.4,9.44,9.1,9.16,9.17,0.23,2.5082,1.6982,1188706,11059866.0,1692000000.0,658000000.0
40,2004-07-30,sh600966,≤©ª„÷Ω“µ,9.12,9.45,9.1,9.42,9.4,-0.28,-2.9787,1.2822,897547,8295579.0,1641600000.0,638400000.0
41,2004-08-02,sh600966,≤©ª„÷Ω“µ,9.36,9.4,8.82,8.98,9.12,0.24,2.6316,1.7663,1236408,11383395.0,1684800000.0,655200000.0
42,2004-08-03,sh600966,≤©ª„÷Ω“µ,9.46,9.56,9.2,9.35,9.36,0.1,1.0684,1.5807,1106493,10423400.0,1702800000.0,662200000.0
43,2004-08-04,sh600966,≤©ª„÷Ω“µ,9.57,9.74,9.4,9.44,9.46,0.11,1.1628,1.9878,1391489,13338378.0,1722600000.0,669900000.0
44,2004-08-05,sh600966,≤©ª„÷Ω“µ,9.53,9.6,9.42,9.56,9.57,-0.04,-0.418,1.3443,940989,8945014.0,1715400000.0,667100000.0
45,2004-08-06,sh600966,≤©ª„÷Ω“µ,0.0,0.0,0.0,0.0,9.53,,,0.0,0,0.0,1715400000.0,667100000.0
46,2004-08-09,sh600966,≤©ª„÷Ω“µ,9.47,9.55,9.35,9.5,9.53,-0.06,-0.6296,0.6656,465902,4390968.0,1704600000.0,662900000.0
47,2004-08-10,sh600966,≤©ª„÷Ω“µ,9.52,9.55,9.31,9.31,9.47,0.05,0.528,0.6722,470574,4464491.0,1713600000.0,666400000.0
48,2004-08-11,sh600966,≤©ª„÷Ω“µ,9.32,9.5,9.31,9.47,9.52,-0.2,-2.1008,0.8836,618549,5812592.0,1677600000.0,652400000.0
49,2004-08-12,sh600966,≤©ª„÷Ω“µ,9.3,9.34,9.03,9.22,9.32,-0.02,-0.2146,1.2831,898153,8265906.0,1674000000.0,651000000.0
50,2004-08-13,sh600966,≤©ª„÷Ω“µ,9.4,9.44,9.2,9.2,9.3,0.1,1.0753,0.5695,398647,3707462.0,1692000000.0,658000000.0
51,2004-08-16,sh600966,≤©ª„÷Ω“µ,9.79,9.8,9.04,9.4,9.4,0.39,4.1489,4.7518,3326243,32105632.0,1762200000.0,685300000.0
52,2004-08-17,sh600966,≤©ª„÷Ω“µ,9.73,9.98,9.68,9.78,9.79,-0.06,-0.6129,3.441,2408686,23805047.0,1751400000.0,681100000.0
53,2004-08-18,sh600966,≤©ª„÷Ω“µ,9.71,9.95,9.52,9.69,9.73,-0.02,-0.2055,1.2166,851648,8368695.0,1747800000.0,679700000.0
54,2004-08-19,sh600966,≤©ª„÷Ω“µ,9.87,9.95,9.6,9.7,9.71,0.16,1.6478,1.4823,1037638,10159703.0,1776600000.0,690900000.0
55,2004-08-20,sh600966,≤©ª„÷Ω“µ,9.85,9.92,9.7,9.88,9.87,-0.02,-0.2026,0.9201,644067,6310675.0,1773000000.0,689500000.0
56,2004-08-23,sh600966,≤©ª„÷Ω“µ,9.9,9.98,9.7,9.73,9.85,0.05,0.5076,0.9011,630789,6232941.0,1782000000.0,693000000.0
57,2004-08-24,sh600966,≤©ª„÷Ω“µ,9.9,10.02,9.76,9.9,9.9,0.0,0.0,1.1655,815829,8113642.0,1782000000.0,693000000.0
58,2004-08-25,sh600966,≤©ª„÷Ω“µ,9.91,9.93,9.78,9.83,9.9,0.01,0.101,0.5913,413898,4064336.0,1783800000.0,693700000.0
59,2004-08-26,sh600966,≤©ª„÷Ω“µ,9.93,9.94,9.8,9.9,9.91,0.02,0.2018,0.7028,491989,4839640.0,1787400000.0,695100000.0
60,2004-08-27,sh600966,≤©ª„÷Ω“µ,9.92,10.02,9.78,9.85,9.93,-0.01,-0.1007,1.5455,1081822,10710349.0,1785600000.0,694400000.0
61,2004-08-30,sh600966,≤©ª„÷Ω“µ,9.79,9.9,9.41,9.78,9.92,-0.13,-1.3105,1.2317,862215,8283013.0,1762200000.0,685300000.0
62,2004-08-31,sh600966,≤©ª„÷Ω“µ,9.82,10.13,9.76,9.9,9.79,0.03,0.3064,1.3026,911798,8984084.0,1767600000.0,687400000.0
63,2004-09-01,sh600966,≤©ª„÷Ω“µ,9.65,9.72,9.55,9.72,9.82,-0.17,-1.7312,0.6376,446292,4297383.0,1737000000.0,675500000.0
64,2004-09-02,sh600966,≤©ª„÷Ω“µ,9.83,9.87,9.63,9.63,9.65,0.18,1.8653,0.9993,699519,6792543.0,1769400000.0,688100000.0
65,2004-09-03,sh600966,≤©ª„÷Ω“µ,9.87,9.9,9.71,9.74,9.83,0.04,0.4069,0.7173,502100,4927779.0,1776600000.0,690900000.0
66,2004-09-06,sh600966,≤©ª„÷Ω“µ,9.88,9.96,9.72,9.72,9.87,0.01,0.1013,0.8697,608771,6004217.0,1778400000.0,691600000.0
67,2004-09-07,sh600966,≤©ª„÷Ω“µ,9.8,9.92,9.79,9.92,9.88,-0.08,-0.8097,0.3799,265900,2609867.0,1764000000.0,686000000.0
68,2004-09-08,sh600966,≤©ª„÷Ω“µ,9.57,9.8,9.35,9.8,9.8,-0.23,-2.3469,1.8994,1329599,12620245.0,1722600000.0,669900000.0
69,2004-09-09,sh600966,≤©ª„÷Ω“µ,9.25,9.4,9.0,9.4,9.57,-0.32,-3.3438,2.362,1653372,15073308.0,1665000000.0,647500000.0
70,2004-09-10,sh600966,≤©ª„÷Ω“µ,9.27,9.31,9.03,9.12,9.25,0.02,0.2162,0.7543,528009,4872308.0,1668600000.0,648900000.0
71,2004-09-13,sh600966,≤©ª„÷Ω“µ,9.2,9.31,9.01,9.31,9.27,-0.07,-0.7551,0.4841,338893,3088147.0,1656000000.0,644000000.0
72,2004-09-14,sh600966,≤©ª„÷Ω“µ,9.38,9.48,9.1,9.1,9.2,0.18,1.9565,1.5709,1099612,10245935.0,1688400000.0,656600000.0
73,2004-09-15,sh600966,≤©ª„÷Ω“µ,9.84,9.97,9.32,9.38,9.38,0.46,4.9041,3.2178,2252434,21997943.0,1771200000.0,688800000.0
74,2004-09-16,sh600966,≤©ª„÷Ω“µ,10.1,10.16,9.75,9.79,9.84,0.26,2.6423,3.807,2664928,26540132.0,1818000000.0,707000000.0
75,2004-09-17,sh600966,≤©ª„÷Ω“µ,10.34,10.42,10.05,10.1,10.1,0.24,2.3762,4.4197,3093756,31745563.0,1861200000.0,723800000.0
76,2004-09-20,sh600966,≤©ª„÷Ω“µ,10.66,10.8,10.44,10.44,10.34,0.32,3.0948,4.881,3416720,36252427.0,1918800000.0,746200000.0
77,2004-09-21,sh600966,≤©ª„÷Ω“µ,10.48,10.65,10.3,10.62,10.66,-0.18,-1.6886,3.0356,2124919,22167872.0,1886400000.0,733600000.0
78,2004-09-22,sh600966,≤©ª„÷Ω“µ,10.26,10.58,10.25,10.43,10.48,-0.22,-2.0992,1.4551,1018589,10552390.0,1846800000.0,718200000.0
79,2004-09-23,sh600966,≤©ª„÷Ω“µ,10.4,10.41,10.15,10.26,10.26,0.14,1.3645,1.4173,992115,10211156.0,1872000000.0,728000000.0
80,2004-09-24,sh600966,≤©ª„÷Ω“µ,10.39,10.86,10.34,10.46,10.4,-0.01,-0.0962,4.324,3026822,32191091.0,1870200000.0,727300000.0
81,2004-09-27,sh600966,≤©ª„÷Ω“µ,10.22,10.68,10.21,10.55,10.39,-0.17,-1.6362,0.9716,680100,7029802.0,1839600000.0,715400000.0
82,2004-09-28,sh600966,≤©ª„÷Ω“µ,10.46,10.49,10.11,10.22,10.22,0.24,2.3483,1.449,1014282,10354454.0,1882800000.0,732200000.0
83,2004-09-29,sh600966,≤©ª„÷Ω“µ,10.43,10.65,10.3,10.46,10.46,-0.03,-0.2868,0.8982,628712,6568806.0,1877400000.0,730100000.0
84,2004-09-30,sh600966,≤©ª„÷Ω“µ,10.34,10.41,10.2,10.33,10.43,-0.09,-0.8629,0.7478,523446,5375585.0,1861200000.0,723800000.0
