,»’∆Џ,є…∆±іъ¬л,√ы≥∆, ’≈ћЉџ,„оЄяЉџ,„оµЌЉџ,њ™≈ћЉџ,«∞ ’≈ћ,’«µшґо,’«µшЈщ,її ÷¬ ,≥…љїЅњ,≥…љїљрґо,„№ –÷µ,ЅчЌ® –÷µ
0,2012-10-09,sh603993,N¬еов,9.63,9.68,8.66,8.7,3.0,6.63,221.0,87.5202,175040418,1571741690.0,48883522155.8,1926000000.0
1,2012-10-10,sh603993,¬е—фов“µ,10.59,10.59,8.99,9.88,9.63,0.96,9.9688,73.1746,146349124,1397022023.0,53756645859.8,2118000000.0
2,2012-10-11,sh603993,¬е—фов“µ,9.68,10.44,9.53,10.11,10.59,-0.91,-8.593,60.4361,120872279,1213281052.0,49137330682.0,1936000000.0
3,2012-10-12,sh603993,¬е—фов“µ,9.09,9.76,9.03,9.45,9.68,-0.59,-6.095,37.9993,75998677,709372476.0,46142390072.2,1818000000.0
4,2012-10-15,sh603993,¬е—фов“µ,9.11,9.27,8.85,9.1,9.09,0.02,0.22,27.8168,55633510,504666843.0,46243913482.8,1822000000.0
5,2012-10-16,sh603993,¬е—фов“µ,8.86,9.15,8.79,9.0,9.11,-0.25,-2.7442,21.5475,43095012,386985012.0,44974870851.5,1772000000.0
6,2012-10-17,sh603993,¬е—фов“µ,8.76,8.95,8.53,8.88,8.86,-0.1,-1.1287,22.5632,45126451,393767565.0,44467253799.0,1752000000.0
7,2012-10-18,sh603993,¬е—фов“µ,9.01,9.1,8.69,8.75,8.76,0.25,2.8539,27.6054,55210820,491810765.0,45736296430.2,1802000000.0
8,2012-10-19,sh603993,¬е—фов“µ,8.69,8.98,8.66,8.98,9.01,-0.32,-3.5516,17.5907,35181409,310167487.0,44111921862.2,1738000000.0
9,2012-10-22,sh603993,¬е—фов“µ,8.53,8.57,8.3,8.5,8.69,-0.16,-1.8412,15.578,31156050,263086740.0,43299734578.2,1706000000.0
10,2012-10-23,sh603993,¬е—фов“µ,8.94,9.28,8.51,8.6,8.53,0.41,4.8066,32.5625,65124957,582180336.0,45380964493.5,1788000000.0
11,2012-10-24,sh603993,¬е—фов“µ,8.79,8.83,8.62,8.79,8.94,-0.15,-1.6779,15.6102,31220333,272258058.0,44619538914.8,1758000000.0
12,2012-10-25,sh603993,¬е—фов“µ,8.5,8.86,8.36,8.7,8.79,-0.29,-3.2992,16.2923,32584679,280109595.0,43147449462.5,1700000000.0
13,2012-10-26,sh603993,¬е—фов“µ,7.99,8.55,7.9,8.51,8.5,-0.51,-6.0,16.5495,33099025,269476876.0,40558602494.8,1598000000.0
14,2012-10-29,sh603993,¬е—фов“µ,8.01,8.06,7.84,7.91,7.99,0.02,0.2503,8.1983,16396693,130437190.0,40660125905.2,1602000000.0
15,2012-10-30,sh603993,¬е—фов“µ,8.04,8.15,7.86,7.98,8.01,0.03,0.3745,9.8827,19765438,158126824.0,40812411021.0,1608000000.0
16,2012-10-31,sh603993,¬е—фов“µ,7.98,8.03,7.82,7.98,8.04,-0.06,-0.7463,7.9468,15893521,125898556.0,40507840789.5,1596000000.0
17,2012-11-01,sh603993,¬е—фов“µ,8.23,8.58,7.96,8.0,7.98,0.25,3.1328,28.131,56262080,469265090.0,41776883420.8,1646000000.0
18,2012-11-02,sh603993,¬е—фов“µ,8.4,8.69,8.16,8.18,8.23,0.17,2.0656,24.8726,49745183,420437096.0,42639832410.0,1680000000.0
19,2012-11-05,sh603993,¬е—фов“µ,8.16,8.31,8.09,8.26,8.4,-0.24,-2.8571,12.8546,25709213,210128782.0,41421551484.0,1632000000.0
20,2012-11-06,sh603993,¬е—фов“µ,8.13,8.18,7.85,8.1,8.16,-0.03,-0.3676,11.9924,23984781,192209527.0,41269266368.2,1626000000.0
21,2012-11-07,sh603993,¬е—фов“µ,8.33,8.43,8.06,8.1,8.13,0.2,2.46,17.7052,35410333,293978966.0,42284500473.2,1666000000.0
22,2012-11-08,sh603993,¬е—фов“µ,7.93,8.27,7.9,8.2,8.33,-0.4,-4.8019,13.885,27769928,223456189.0,40254032263.2,1586000000.0
23,2012-11-09,sh603993,¬е—фов“µ,7.98,8.02,7.85,7.87,7.93,0.05,0.6305,6.8292,13658305,108465862.0,40507840789.5,1596000000.0
24,2012-11-12,sh603993,¬е—фов“µ,8.01,8.19,7.92,8.15,7.98,0.03,0.3759,7.8812,15762315,126412041.0,40660125905.2,1602000000.0
25,2012-11-13,sh603993,¬е—фов“µ,7.65,8.02,7.61,7.96,8.01,-0.36,-4.4944,9.8658,19731504,152442235.0,38832704516.2,1530000000.0
26,2012-11-14,sh603993,¬е—фов“µ,7.7,7.81,7.6,7.62,7.65,0.05,0.6536,6.5853,13170548,101450819.0,39086513042.5,1540000000.0
27,2012-11-15,sh603993,¬е—фов“µ,7.34,7.68,7.29,7.6,7.7,-0.36,-4.6753,9.1976,18395205,138147019.0,37259091653.5,1468000000.0
28,2012-11-16,sh603993,¬е—фов“µ,7.21,7.36,7.12,7.3,7.34,-0.13,-1.7711,6.6303,13260686,95409782.0,36599189485.2,1442000000.0
29,2012-11-19,sh603993,¬е—фов“µ,7.51,7.65,7.15,7.18,7.21,0.3,4.1609,12.6611,25322283,187923318.0,38122040642.8,1502000000.0
30,2012-11-20,sh603993,¬е—фов“µ,7.28,7.56,7.26,7.52,7.51,-0.23,-3.0626,8.5588,17117621,125881650.0,36954521422.0,1456000000.0
31,2012-11-21,sh603993,¬е—фов“µ,7.42,7.49,7.17,7.27,7.28,0.14,1.9231,8.7105,17421052,128032921.0,37665185295.5,1484000000.0
32,2012-11-22,sh603993,¬е—фов“µ,7.32,7.5,7.26,7.34,7.42,-0.1,-1.3477,7.1619,14323878,105546590.0,37157568243.0,1464000000.0
33,2012-11-23,sh603993,¬е—фов“µ,7.38,7.43,7.28,7.33,7.32,0.06,0.8197,6.3935,12786922,93993957.0,37462138474.5,1476000000.0
34,2012-11-26,sh603993,¬е—фов“µ,7.19,7.38,7.17,7.38,7.38,-0.19,-2.5745,5.005,10010020,72821941.0,36497666074.8,1438000000.0
35,2012-11-27,sh603993,¬е—фов“µ,6.79,7.19,6.76,7.17,7.19,-0.4,-5.5633,7.5676,15135199,105004542.0,34467197864.8,1358000000.0
36,2012-11-28,sh603993,¬е—фов“µ,6.69,6.9,6.66,6.68,6.79,-0.1,-1.4728,5.6396,11279190,76258448.0,33959580812.2,1338000000.0
37,2012-11-29,sh603993,¬е—фов“µ,6.48,6.8,6.43,6.71,6.69,-0.21,-3.139,6.0189,12037707,79729778.0,32893585002.0,1296000000.0
38,2012-11-30,sh603993,¬е—фов“µ,6.56,6.57,6.4,6.45,6.48,0.08,1.2346,6.6062,13212324,85875093.0,33299678644.0,1312000000.0
