,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
0,2020-09-28,sh605218,N伟时,15.8,15.8,13.16,13.16,10.97,4.83,44.0292,0.6168,328164,5172340.0,3362768668.0,840692167.0
1,2020-09-29,sh605218,伟时电子,17.38,17.38,17.38,17.38,15.8,1.58,10.0,0.1804,95967,1667906.0,3699045534.8,924761383.7
2,2020-09-30,sh605218,伟时电子,19.12,19.12,19.12,19.12,17.38,1.74,10.0115,0.3599,191471,3660926.0,4069375755.2,1017343938.8
3,2020-10-09,sh605218,伟时电子,18.03,21.03,17.21,21.03,19.12,-1.09,-5.7008,40.5846,21594424,385419684.0,3837387283.8,959346820.95
4,2020-10-12,sh605218,伟时电子,19.83,19.83,17.48,17.53,18.03,1.8,9.9834,44.9516,23918005,439433043.0,4220487511.8,1055121877.95
5,2020-10-13,sh605218,伟时电子,19.1,19.63,18.59,19.01,19.83,-0.73,-3.6813,33.9807,18080568,345606496.0,4065119086.0,1016279771.5
6,2020-10-14,sh605218,伟时电子,18.25,18.91,18.11,18.87,19.1,-0.85,-4.4503,25.5294,13583779,250272726.0,3884210645.0,971052661.25
7,2020-10-15,sh605218,伟时电子,17.49,18.28,17.46,18.25,18.25,-0.76,-4.1644,16.8361,8958207,158938726.0,3722457215.4,930614303.85
8,2020-10-16,sh605218,伟时电子,17.63,17.9,17.35,17.5,17.49,0.14,0.8005,10.4559,5563413,98080560.0,3752253899.8,938063474.95
9,2020-10-19,sh605218,伟时电子,17.15,17.77,17.14,17.7,17.63,-0.48,-2.7226,11.5747,6158686,107169376.0,3650093839.0,912523459.75
10,2020-10-20,sh605218,伟时电子,17.35,17.45,16.76,17.08,17.15,0.2,1.1662,11.673,6211017,106034833.0,3692660531.0,923165132.75
11,2020-10-21,sh605218,伟时电子,17.39,17.66,17.12,17.27,17.35,0.04,0.2305,11.2537,5987910,104496778.0,3701173869.4,925293467.35
12,2020-10-22,sh605218,伟时电子,17.55,17.76,17.23,17.42,17.39,0.16,0.9201,11.1432,5929095,104021759.0,3735227223.0,933806805.75
13,2020-10-23,sh605218,伟时电子,16.84,17.62,16.83,17.62,17.55,-0.71,-4.0456,12.2506,6518347,111796160.0,3584115466.4,896028866.6
14,2020-10-26,sh605218,伟时电子,16.6,16.83,16.3,16.68,16.84,-0.24,-1.4252,7.8076,4154321,68805074.0,3533035436.0,883258859.0
15,2020-10-27,sh605218,伟时电子,16.42,16.73,16.31,16.41,16.6,-0.18,-1.0843,5.1558,2743330,45179626.0,3494725413.2,873681353.3
16,2020-10-28,sh605218,伟时电子,16.04,16.3,15.81,16.3,16.42,-0.38,-2.3143,9.0169,4797767,76817165.0,3413848698.4,853462174.6
17,2020-10-29,sh605218,伟时电子,15.7,15.88,15.62,15.88,16.04,-0.34,-2.1197,7.5556,4020233,63322972.0,3341485322.0,835371330.5
18,2020-10-30,sh605218,伟时电子,15.7,15.95,15.54,15.7,15.7,0.0,0.0,7.8698,4187392,65806314.0,3341485322.0,835371330.5
19,2020-11-02,sh605218,伟时电子,15.13,15.74,15.0,15.67,15.7,-0.57,-3.6306,8.2093,4368043,66437042.0,3220170249.8,805042562.45
20,2020-11-03,sh605218,伟时电子,15.64,15.89,15.08,15.08,15.13,0.51,3.3708,9.0486,4814634,74687202.0,3328715314.4,832178828.6
21,2020-11-04,sh605218,伟时电子,15.72,15.95,15.56,15.59,15.64,0.08,0.5115,7.9367,4222987,66532288.0,3345741991.2,836435497.8
22,2020-11-05,sh605218,伟时电子,15.83,15.95,15.72,15.84,15.72,0.11,0.6997,7.8582,4181204,66308987.0,3369153671.8,842288417.95
23,2020-11-06,sh605218,伟时电子,16.2,16.29,15.9,16.0,15.83,0.37,2.3373,11.5156,6127267,98553335.0,3447902052.0,861975513.0
24,2020-11-09,sh605218,伟时电子,16.67,16.76,16.05,16.24,16.2,0.47,2.9012,14.5412,7737158,127540496.0,3547933778.2,886983444.55
25,2020-11-10,sh605218,伟时电子,16.16,16.76,16.12,16.74,16.67,-0.51,-3.0594,9.5109,5060598,82748658.0,3439388713.6,859847178.4
26,2020-11-11,sh605218,伟时电子,16.37,16.66,16.09,16.09,16.16,0.21,1.2995,9.3265,4962487,81371215.0,3484083740.2,871020935.05
27,2020-11-12,sh605218,伟时电子,16.25,16.39,16.07,16.31,16.37,-0.12,-0.733,6.3118,3358432,54387755.0,3458543725.0,864635931.25
28,2020-11-13,sh605218,伟时电子,16.31,16.49,16.0,16.24,16.25,0.06,0.3692,5.8252,3099496,50370805.0,3471313732.6,867828433.15
29,2020-11-16,sh605218,伟时电子,16.47,16.73,16.2,16.58,16.31,0.16,0.981,7.0715,3762640,61656227.0,3505367086.2,876341771.55
30,2020-11-17,sh605218,伟时电子,16.3,16.47,16.15,16.42,16.47,-0.17,-1.0322,5.5748,2966254,48267777.0,3469185398.0,867296349.5
31,2020-11-18,sh605218,伟时电子,16.65,16.68,16.28,16.35,16.3,0.35,2.1472,9.156,4871760,80477090.0,3543677109.0,885919277.25
32,2020-11-19,sh605218,伟时电子,16.8,17.11,16.43,16.5,16.65,0.15,0.9009,10.9884,5846743,98655006.0,3575602128.0,893900532.0
33,2020-11-20,sh605218,伟时电子,16.48,16.91,16.33,16.77,16.8,-0.32,-1.9048,8.2448,4386935,72363676.0,3507495420.8,876873855.2
34,2020-11-23,sh605218,伟时电子,16.24,16.41,16.08,16.39,16.48,-0.24,-1.4563,7.722,4108749,66631714.0,3456415390.4,864103847.6
