,ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
0,2021-06-15,sh605259,Nยฬฬ๏,39.02,39.02,39.02,39.02,27.1,11.92,43.9852,2.5225,554940,21653759.0,3433760000.0,858440000.0
1,2021-06-16,sh605259,ยฬฬ๏ป๚ะต,42.92,42.92,42.92,42.92,39.02,3.9,9.9949,0.4326,95177,4084997.0,3776960000.0,944240000.0
2,2021-06-17,sh605259,ยฬฬ๏ป๚ะต,47.21,47.21,47.21,47.21,42.92,4.29,9.9953,0.2832,62296,2940994.0,4154480000.0,1038620000.0
3,2021-06-18,sh605259,ยฬฬ๏ป๚ะต,42.49,45.99,42.49,45.99,47.21,-4.72,-9.9979,48.0562,10572372,460090720.0,3739120000.0,934780000.0
4,2021-06-21,sh605259,ยฬฬ๏ป๚ะต,44.67,46.5,39.5,39.88,42.49,2.18,5.1306,41.5865,9149022,386540672.0,3930960000.0,982740000.0
5,2021-06-22,sh605259,ยฬฬ๏ป๚ะต,42.22,44.44,41.78,42.88,44.67,-2.45,-5.4847,27.8614,6129497,265129480.0,3715360000.0,928840000.0
6,2021-06-23,sh605259,ยฬฬ๏ป๚ะต,40.45,41.5,39.86,41.44,42.22,-1.77,-4.1923,26.028,5726163,231907281.0,3559600000.0,889900000.0
7,2021-06-24,sh605259,ยฬฬ๏ป๚ะต,38.4,40.22,37.88,39.87,40.45,-2.05,-5.068,25.6851,5650732,219179986.0,3379200000.0,844800000.0
8,2021-06-25,sh605259,ยฬฬ๏ป๚ะต,38.33,38.8,37.51,38.01,38.4,-0.07,-0.1823,14.5594,3203072,122326136.0,3373040000.0,843260000.0
9,2021-06-28,sh605259,ยฬฬ๏ป๚ะต,37.1,38.95,36.9,38.95,38.33,-1.23,-3.209,16.0882,3539405,132988864.0,3264800000.0,816200000.0
10,2021-06-29,sh605259,ยฬฬ๏ป๚ะต,36.1,36.9,35.83,36.9,37.1,-1.0,-2.6954,15.8295,3482482,126018217.0,3176800000.0,794200000.0
