,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
0,2000-09-26,sz000972,新 中 基,14.87,16.55,14.55,16.32,5.0,9.87,197.4,53.5525,24098610,372403988.1,1852641002.51,669150000.0
1,2000-09-27,sz000972,新 中 基,16.36,16.36,14.62,14.62,14.87,1.49,10.0202,33.8968,15253539,240730479.72,2038278870.28,736200000.0
2,2000-09-28,sz000972,新 中 基,16.69,17.89,16.3,16.79,16.36,0.33,2.0171,36.8093,16564199,280481307.64,2079393297.37,751050000.0
3,2000-09-29,sz000972,新 中 基,17.18,17.58,16.69,16.69,16.69,0.49,2.9359,20.2118,9095308,155921866.67,2140441992.14,773100000.0
4,2000-10-09,sz000972,新 中 基,17.41,17.51,16.41,17.45,17.18,0.23,1.3388,12.9799,5840942,99296671.04,2169097501.93,783450000.0
5,2000-10-10,sz000972,新 中 基,18.38,18.87,17.21,17.4,17.41,0.97,5.5715,18.2503,8212616,150811425.75,2289948999.74,827100000.0
6,2000-10-11,sz000972,新 中 基,18.39,18.68,18.0,18.3,18.38,0.01,0.0544,12.0178,5407992,99123336.24,2291194891.47,827550000.0
7,2000-10-12,sz000972,新 中 基,18.41,19.18,18.21,18.34,18.39,0.02,0.1088,8.5673,3855304,71934742.65,2293686674.93,828450000.0
8,2000-10-13,sz000972,新 中 基,18.57,19.18,18.36,18.6,18.41,0.16,0.8691,6.7396,3032807,56814647.28,2313620942.61,835650000.0
9,2000-10-16,sz000972,新 中 基,17.48,18.5,17.41,18.47,18.57,-1.09,-5.8697,8.5945,3867532,68958281.9,2177818744.04,786600000.0
10,2000-10-17,sz000972,新 中 基,17.39,17.76,17.2,17.4,17.48,-0.09,-0.5149,3.7584,1691264,29532011.14,2166605718.47,782550000.0
11,2000-10-18,sz000972,新 中 基,17.8,17.82,17.25,17.48,17.39,0.41,2.3577,3.7528,1688744,29590025.16,2217687279.4,801000000.0
12,2000-10-19,sz000972,新 中 基,17.6,18.13,17.6,17.8,17.8,-0.2,-1.1236,3.2967,1483516,26499325.32,2192769444.8,792000000.0
13,2000-10-20,sz000972,新 中 基,17.71,17.86,17.25,17.57,17.6,0.11,0.625,4.4712,2012018,35198418.19,2206474253.83,796950000.0
14,2000-10-23,sz000972,新 中 基,17.94,18.16,17.51,17.8,17.71,0.23,1.2987,3.6671,1650214,29593550.63,2235129763.62,807300000.0
15,2000-10-24,sz000972,新 中 基,18.72,18.95,17.78,17.94,17.94,0.78,4.3478,7.0355,3165993,58546008.49,2332309318.56,842400000.0
16,2000-10-25,sz000972,新 中 基,19.25,19.97,18.75,18.98,18.72,0.53,2.8312,14.7116,6620221,129221190.56,2398341580.25,866250000.0
17,2000-10-26,sz000972,新 中 基,19.61,19.82,19.11,19.3,19.25,0.36,1.8701,6.2537,2814185,54812699.72,2443193682.53,882450000.0
18,2000-10-27,sz000972,新 中 基,19.44,19.73,19.21,19.68,19.61,-0.17,-0.8669,3.5228,1585240,30733636.55,2422013523.12,874800000.0
