,ИХЖЪ,№ЙЖ±ґъВл,ГыіЖ,КХЕМјЫ,ЧоёЯјЫ,ЧоµНјЫ,їЄЕМјЫ,З°КХЕМ,ХЗµш¶о,ХЗµш·щ,»»КЦВК,іЙЅ»Бї,іЙЅ»Ѕр¶о,ЧЬКРЦµ,БчНЁКРЦµ
0,2006-11-02,sz002081,Ѕр у« тл,0.0,0.0,0.0,0.0,12.8,,,0.0,0,0.0,896000000.0,0.0
1,2006-11-20,sz002081,N Ѕру«тл,19.84,21.68,19.79,20.09,12.8,7.04,55.0,69.5881,13360919,276426811.5,1864960000.0,380928000.0
2,2006-11-21,sz002081,Ѕр у« тл,21.82,21.82,20.62,20.62,19.84,1.98,9.9798,24.8963,4780095,102530467.55,2051080000.0,418944000.0
3,2006-11-22,sz002081,Ѕр у« тл,24.0,24.0,21.87,22.08,21.82,2.18,9.9908,34.547,6633027,151703582.2,2256000000.0,460800000.0
4,2006-11-23,sz002081,Ѕр у« тл,24.47,24.64,23.22,23.79,24.0,0.47,1.9583,19.3408,3713432,88727264.19,2300180000.0,469824000.0
5,2006-11-24,sz002081,Ѕр у« тл,23.9,24.5,23.5,24.0,24.47,-0.57,-2.3294,8.5422,1640099,39222195.69,2246600000.0,458880000.0
6,2006-11-27,sz002081,Ѕр у« тл,24.1,24.3,23.6,24.05,23.9,0.2,0.8368,7.2648,1394850,33401280.85,2265400000.0,462720000.0
7,2006-11-28,sz002081,Ѕр у« тл,22.85,23.8,22.3,23.79,24.1,-1.25,-5.1867,12.7042,2439212,55585705.03,2147900000.0,438720000.0
8,2006-11-29,sz002081,Ѕр у« тл,22.8,23.2,21.88,22.4,22.85,-0.05,-0.2188,6.8934,1323530,30212193.87,2143200000.0,437760000.0
9,2006-11-30,sz002081,Ѕр у« тл,22.79,23.48,22.56,22.88,22.8,-0.01,-0.0439,7.2197,1386174,31837557.22,2142260000.0,437568000.0
10,2006-12-01,sz002081,Ѕр у« тл,23.67,23.79,22.58,22.97,22.79,0.88,3.8613,8.6347,1657854,38557818.6,2224980000.0,454464000.0
11,2006-12-04,sz002081,Ѕр у« тл,24.7,25.59,23.48,23.55,23.67,1.03,4.3515,10.0563,1930800,47205833.21,2321800000.0,474240000.0
12,2006-12-05,sz002081,Ѕр у« тл,24.51,25.16,24.33,24.51,24.7,-0.19,-0.7692,7.2871,1399120,34480366.08,2303940000.0,470592000.0
13,2006-12-06,sz002081,Ѕр у« тл,23.78,24.59,22.8,24.49,24.51,-0.73,-2.9784,5.7188,1098018,26333666.51,2235320000.0,456576000.0
14,2006-12-07,sz002081,Ѕр у« тл,23.36,24.2,23.18,23.5,23.78,-0.42,-1.7662,3.2516,624308,14703797.84,2195840000.0,448512000.0
15,2006-12-08,sz002081,Ѕр у« тл,22.5,23.15,22.3,23.1,23.36,-0.86,-3.6815,4.0651,780490,17655467.32,2115000000.0,432000000.0
16,2006-12-11,sz002081,Ѕр у« тл,22.98,22.98,22.5,22.5,22.5,0.48,2.1333,2.6788,514328,11691671.12,2160120000.0,441216000.0
17,2006-12-12,sz002081,Ѕр у« тл,22.9,23.18,21.98,23.18,22.98,-0.08,-0.3481,3.8694,742922,16774411.36,2152600000.0,439680000.0
18,2006-12-13,sz002081,Ѕр у« тл,23.81,23.81,22.5,22.83,22.9,0.91,3.9738,4.3605,837213,19506520.31,2238140000.0,457152000.0
19,2006-12-14,sz002081,Ѕр у« тл,23.95,24.25,23.2,23.58,23.81,0.14,0.588,4.7344,908997,21676563.76,2251300000.0,459840000.0
20,2006-12-15,sz002081,Ѕр у« тл,24.0,24.18,23.5,23.5,23.95,0.05,0.2088,3.8411,737500,17645352.7,2256000000.0,460800000.0
21,2006-12-18,sz002081,Ѕр у« тл,24.75,25.0,23.8,23.8,24.0,0.75,3.125,5.3646,1030006,25289954.95,2326500000.0,475200000.0
22,2006-12-19,sz002081,Ѕр у« тл,25.68,26.08,24.73,24.73,24.75,0.93,3.7576,7.1273,1368448,34985647.66,2413920000.0,493056000.0
23,2006-12-20,sz002081,Ѕр у« тл,25.69,26.2,24.98,25.65,25.68,0.01,0.0389,3.7802,725792,18557295.3,2414860000.0,493248000.0
24,2006-12-21,sz002081,Ѕр у« тл,24.6,25.96,24.5,25.66,25.69,-1.09,-4.2429,5.5536,1066299,26715725.3,2312400000.0,472320000.0
25,2006-12-22,sz002081,Ѕр у« тл,24.05,24.56,23.98,24.56,24.6,-0.55,-2.2358,2.7246,523120,12657090.52,2260700000.0,461760000.0
26,2006-12-25,sz002081,Ѕр у« тл,24.17,24.76,24.01,24.4,24.05,0.12,0.499,2.1624,415183,10149106.47,2271980000.0,464064000.0
27,2006-12-26,sz002081,Ѕр у« тл,23.51,24.35,23.3,24.09,24.17,-0.66,-2.7307,2.3527,451725,10701314.98,2209940000.0,451392000.0
28,2006-12-27,sz002081,Ѕр у« тл,23.46,23.75,23.37,23.38,23.51,-0.05,-0.2127,3.8,729600,17161085.7,2205240000.0,450432000.0
29,2006-12-28,sz002081,Ѕр у« тл,23.35,23.7,22.99,23.55,23.46,-0.11,-0.4689,3.3476,642745,14923966.44,2194900000.0,448320000.0
30,2006-12-29,sz002081,Ѕр у« тл,24.0,24.29,23.46,23.55,23.35,0.65,2.7837,2.5257,484940,11675175.52,2256000000.0,460800000.0
31,2007-01-04,sz002081,Ѕр у« тл,23.51,24.26,23.51,23.76,24.0,-0.49,-2.0417,2.4932,478700,11444707.2,2209940000.0,451392000.0
32,2007-01-05,sz002081,Ѕр у« тл,25.3,25.7,23.51,23.51,23.51,1.79,7.6138,4.2626,818416,20535208.75,2378200000.0,485760000.0
33,2007-01-08,sz002081,Ѕр у« тл,25.64,26.0,24.92,24.92,25.3,0.34,1.3439,3.0357,582858,14828841.26,2410160000.0,492288000.0
34,2007-01-09,sz002081,Ѕр у« тл,25.74,26.65,25.35,25.71,25.64,0.1,0.39,4.6157,886215,23184717.28,2419560000.0,494208000.0
35,2007-01-10,sz002081,Ѕр у« тл,26.0,26.14,25.18,25.74,25.74,0.26,1.0101,2.5667,492803,12660374.32,2444000000.0,499200000.0
36,2007-01-11,sz002081,Ѕр у« тл,26.9,27.68,26.0,26.0,26.0,0.9,3.4615,4.3516,835501,22296039.49,2528600000.0,516480000.0
37,2007-01-12,sz002081,Ѕр у« тл,0.0,0.0,0.0,0.0,26.9,,,0.0,0,0.0,2528600000.0,516480000.0
38,2007-01-15,sz002081,Ѕр у« тл,29.04,29.1,25.0,26.05,26.9,2.14,7.9554,7.0707,1357576,37897696.98,2729760000.0,557568000.0
39,2007-01-16,sz002081,Ѕр у« тл,31.9,31.94,29.5,29.5,29.04,2.86,9.8485,14.7576,2833464,86534101.55,2998600000.0,612480000.0
40,2007-01-17,sz002081,Ѕр у« тл,29.91,32.47,29.6,32.35,31.9,-1.99,-6.2382,7.4007,1420938,44696748.84,2811540000.0,574272000.0
41,2007-01-18,sz002081,Ѕр у« тл,30.1,31.43,28.96,30.15,29.91,0.19,0.6352,5.2407,1006210,29805593.95,2829400000.0,577920000.0
42,2007-01-19,sz002081,Ѕр у« тл,31.6,32.3,30.2,30.28,30.1,1.5,4.9834,3.367,646458,20220864.24,2970400000.0,606720000.0
43,2007-01-22,sz002081,Ѕр у« тл,33.41,34.45,32.5,32.6,31.6,1.81,5.7278,4.8153,924531,30718046.95,3140540000.0,641472000.0
44,2007-01-23,sz002081,Ѕр у« тл,33.2,33.58,32.1,33.4,33.41,-0.21,-0.6286,5.9818,1148501,38026990.25,3120800000.0,637440000.0
45,2007-01-24,sz002081,Ѕр у« тл,32.8,33.0,31.74,33.0,33.2,-0.4,-1.2048,6.088,1168889,37739404.13,3083200000.0,629760000.0
46,2007-01-25,sz002081,Ѕр у« тл,30.75,32.59,30.61,32.59,32.8,-2.05,-6.25,5.6355,1082009,34524566.12,2890500000.0,590400000.0
47,2007-01-26,sz002081,Ѕр у« тл,30.5,31.0,29.11,30.0,30.75,-0.25,-0.813,4.4293,850429,25335586.32,2867000000.0,585600000.0
48,2007-01-29,sz002081,Ѕр у« тл,32.0,32.12,30.3,30.6,30.5,1.5,4.918,2.507,481348,15021286.01,3008000000.0,614400000.0
49,2007-01-30,sz002081,Ѕр у« тл,32.8,33.2,31.82,32.0,32.0,0.8,2.5,4.2425,814566,26578011.25,3083200000.0,629760000.0
50,2007-01-31,sz002081,Ѕр у« тл,30.2,32.8,30.09,32.2,32.8,-2.6,-7.9268,2.7748,532759,16605935.9,2838800000.0,579840000.0
51,2007-02-01,sz002081,Ѕр у« тл,30.06,30.85,29.5,29.67,30.2,-0.14,-0.4636,2.192,420858,12673905.2,2825640000.0,577152000.0
52,2007-02-02,sz002081,Ѕр у« тл,28.8,30.22,28.7,30.1,30.06,-1.26,-4.1916,4.2397,814031,23992919.3,2707200000.0,552960000.0
53,2007-02-05,sz002081,Ѕр у« тл,29.4,30.18,28.86,28.86,28.8,0.6,2.0833,1.3683,262717,7840128.55,2763600000.0,564480000.0
54,2007-02-06,sz002081,Ѕр у« тл,30.69,30.69,29.12,29.12,29.4,1.29,4.3878,1.2985,249314,7457228.11,2884860000.0,589248000.0
55,2007-02-07,sz002081,Ѕр у« тл,30.2,30.87,29.66,30.82,30.69,-0.49,-1.5966,4.829,927176,27877896.54,2838800000.0,579840000.0
56,2007-02-08,sz002081,Ѕр у« тл,32.8,32.8,29.6,30.26,30.2,2.6,8.6093,4.1371,794329,24483193.28,3083200000.0,629760000.0
57,2007-02-09,sz002081,Ѕр у« тл,32.01,32.3,30.8,32.0,32.8,-0.79,-2.4085,3.5366,679028,21654837.42,3008940000.0,614592000.0
58,2007-02-12,sz002081,Ѕр у« тл,32.68,33.18,31.89,31.89,32.01,0.67,2.0931,3.9402,756517,24848118.03,3071920000.0,627456000.0
59,2007-02-13,sz002081,Ѕр у« тл,31.9,32.89,31.5,32.68,32.68,-0.78,-2.3868,2.1528,413331,13188270.74,2998600000.0,612480000.0
60,2007-02-14,sz002081,Ѕр у« тл,32.1,32.68,31.12,32.5,31.9,0.2,0.627,3.9059,749942,23678901.59,3017400000.0,616320000.0
61,2007-02-15,sz002081,Ѕр у« тл,33.08,33.17,31.81,32.11,32.1,0.98,3.053,4.3319,831720,27112041.68,3109520000.0,635136000.0
62,2007-02-16,sz002081,Ѕр у« тл,33.0,33.85,32.51,33.5,33.08,-0.08,-0.2418,2.6024,499653,16498467.16,3102000000.0,633600000.0
63,2007-02-26,sz002081,Ѕр у« тл,31.98,33.0,31.96,32.8,33.0,-1.02,-3.0909,6.8524,1644580,53171573.77,3006120000.0,767520000.0
64,2007-02-27,sz002081,Ѕр у« тл,29.0,32.24,28.78,31.99,31.98,-2.98,-9.3183,6.5994,1583850,48698677.9,2726000000.0,696000000.0
65,2007-02-28,sz002081,Ѕр у« тл,29.65,29.8,28.56,28.96,29.0,0.65,2.2414,3.13,751197,21856152.42,2787100000.0,711600000.0
66,2007-03-01,sz002081,Ѕр у« тл,28.5,29.49,28.01,29.49,29.65,-1.15,-3.8786,1.8348,440342,12615284.77,2679000000.0,684000000.0
67,2007-03-02,sz002081,Ѕр у« тл,29.5,29.9,28.3,28.5,28.5,1.0,3.5088,2.0084,482023,14085668.86,2773000000.0,708000000.0
68,2007-03-05,sz002081,Ѕр у« тл,29.16,29.96,28.5,29.3,29.5,-0.34,-1.1525,1.2583,302002,8869737.9,2741040000.0,699840000.0
69,2007-03-06,sz002081,Ѕр у« тл,28.98,29.2,28.31,28.8,29.16,-0.18,-0.6173,1.4936,358470,10307027.43,2724120000.0,695520000.0
70,2007-03-07,sz002081,Ѕр у« тл,29.8,29.9,28.75,29.1,28.98,0.82,2.8295,1.6968,407227,11973807.48,2801200000.0,715200000.0
