,�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
0,2006-11-03,sz002082,集褽陔第,0.0,0.0,0.0,0.0,6.36,,,0.0,0,0.0,338352000.0,0.0
1,2006-11-20,sz002082,N 集  褽,10.48,11.0,9.8,10.2,6.36,4.12,64.7799,79.3188,19036506,195671708.15,871936000.0,251520000.0
2,2006-11-21,sz002082,集褽陔第,11.53,11.53,10.0,10.13,10.48,1.05,10.0191,45.5516,10932390,120198757.15,959296000.0,276720000.0
3,2006-11-22,sz002082,集褽陔第,11.91,12.3,11.02,11.3,11.53,0.38,3.2958,30.0497,7211920,84294896.3,990912000.0,285840000.0
4,2006-11-23,sz002082,集褽陔第,11.67,11.9,11.43,11.7,11.91,-0.24,-2.0151,17.7099,4250379,49226474.3,970944000.0,280080000.0
5,2006-11-24,sz002082,集褽陔第,11.79,12.36,11.4,11.49,11.67,0.12,1.0283,12.9457,3106963,37147631.87,980928000.0,282960000.0
6,2006-11-27,sz002082,集褽陔第,11.94,12.18,11.71,11.81,11.79,0.15,1.2723,7.3288,1758917,20920390.66,993408000.0,286560000.0
7,2006-11-28,sz002082,集褽陔第,11.8,12.0,11.56,11.9,11.94,-0.14,-1.1725,9.4471,2267308,26485237.12,981760000.0,283200000.0
8,2006-11-29,sz002082,集褽陔第,11.68,11.95,11.5,11.65,11.8,-0.12,-1.0169,5.533,1327925,15648284.08,971776000.0,280320000.0
9,2006-11-30,sz002082,集褽陔第,12.08,12.17,11.6,11.65,11.68,0.4,3.4247,9.457,2269676,27181692.38,1005056000.0,289920000.0
10,2006-12-01,sz002082,集褽陔第,13.29,13.29,11.88,11.98,12.08,1.21,10.0166,16.9465,4067164,52553656.72,1105728000.0,318960000.0
11,2006-12-04,sz002082,集褽陔第,13.97,14.47,13.16,13.31,13.29,0.68,5.1166,16.1958,3886983,52699052.5,1162304000.0,335280000.0
12,2006-12-05,sz002082,集褽陔第,13.51,13.98,13.29,13.97,13.97,-0.46,-3.2928,12.3236,2957662,40140239.32,1124032000.0,324240000.0
13,2006-12-06,sz002082,集褽陔第,13.7,13.98,12.6,13.4,13.51,0.19,1.4064,11.8053,2833260,37720158.87,1139840000.0,328800000.0
14,2006-12-07,sz002082,集褽陔第,13.6,14.2,13.0,13.6,13.7,-0.1,-0.7299,10.5245,2525882,34938817.14,1131520000.0,326400000.0
15,2006-12-08,sz002082,集褽陔第,13.0,13.6,12.9,13.6,13.6,-0.6,-4.4118,6.8501,1644030,21553758.74,1081600000.0,312000000.0
16,2006-12-11,sz002082,集褽陔第,13.24,13.32,12.86,12.9,13.0,0.24,1.8462,3.5676,856221,11176736.53,1101568000.0,317760000.0
17,2006-12-12,sz002082,集褽陔第,12.69,13.45,12.51,13.24,13.24,-0.55,-4.1541,7.0559,1693416,21759074.13,1055808000.0,304560000.0
18,2006-12-13,sz002082,集褽陔第,12.7,12.9,12.5,12.7,12.69,0.01,0.0788,2.6919,646064,8169124.21,1056640000.0,304800000.0
19,2006-12-14,sz002082,集褽陔第,12.65,12.88,12.5,12.61,12.7,-0.05,-0.3937,3.3164,795928,10090021.4,1052480000.0,303600000.0
20,2006-12-15,sz002082,集褽陔第,13.04,13.04,12.55,12.65,12.65,0.39,3.083,6.3047,1513126,19448609.52,1084928000.0,312960000.0
21,2006-12-18,sz002082,集褽陔第,12.97,13.11,12.8,13.05,13.04,-0.07,-0.5368,5.6835,1364039,17710347.98,1079104000.0,311280000.0
22,2006-12-19,sz002082,集褽陔第,13.6,13.78,12.98,13.0,12.97,0.63,4.8574,7.7427,1858243,24715620.04,1131520000.0,326400000.0
23,2006-12-20,sz002082,集褽陔第,13.62,13.8,13.15,13.6,13.6,0.02,0.1471,4.6837,1124080,15269776.6,1133184000.0,326880000.0
24,2006-12-21,sz002082,集褽陔第,13.05,13.6,13.02,13.6,13.62,-0.57,-4.185,3.2749,785985,10502058.54,1085760000.0,313200000.0
25,2006-12-22,sz002082,集褽陔第,13.03,13.3,12.85,13.0,13.05,-0.02,-0.1533,3.3194,796654,10407650.16,1084096000.0,312720000.0
26,2006-12-25,sz002082,集褽陔第,13.29,13.55,13.03,13.03,13.03,0.26,1.9954,3.0126,723018,9605154.25,1105728000.0,318960000.0
27,2006-12-26,sz002082,集褽陔第,13.05,13.5,12.87,13.38,13.29,-0.24,-1.8059,1.9806,475353,6285826.5,1085760000.0,313200000.0
28,2006-12-27,sz002082,集褽陔第,12.63,13.0,12.61,13.0,13.05,-0.42,-3.2184,3.5235,845634,10737263.94,1050816000.0,303120000.0
29,2006-12-28,sz002082,集褽陔第,12.26,12.79,12.15,12.64,12.63,-0.37,-2.9295,4.4815,1075550,13412084.26,1020032000.0,294240000.0
30,2006-12-29,sz002082,集褽陔第,12.51,12.7,12.2,12.2,12.26,0.25,2.0392,1.947,467283,5807133.61,1040832000.0,300240000.0
31,2007-01-04,sz002082,集褽陔第,12.4,12.7,12.3,12.6,12.51,-0.11,-0.8793,3.2348,776345,9634757.3,1031680000.0,297600000.0
32,2007-01-05,sz002082,集褽陔第,13.03,13.2,12.21,12.4,12.4,0.63,5.0806,3.2911,789859,10083396.37,1084096000.0,312720000.0
33,2007-01-08,sz002082,集褽陔第,13.58,13.8,13.05,13.05,13.03,0.55,4.221,3.7351,896429,12129790.0,1129856000.0,325920000.0
34,2007-01-09,sz002082,集褽陔第,14.8,14.94,13.39,13.59,13.58,1.22,8.9838,8.4767,2034418,29246607.52,1231360000.0,355200000.0
35,2007-01-10,sz002082,集褽陔第,14.9,15.0,14.41,14.9,14.8,0.1,0.6757,4.8791,1170992,17250941.91,1239680000.0,357600000.0
36,2007-01-11,sz002082,集褽陔第,14.8,15.36,14.61,14.88,14.9,-0.1,-0.6711,6.2863,1508723,22741574.62,1231360000.0,355200000.0
37,2007-01-12,sz002082,集褽陔第,14.66,15.1,14.62,14.7,14.8,-0.14,-0.9459,4.9606,1190550,17677481.46,1219712000.0,351840000.0
38,2007-01-15,sz002082,集褽陔第,15.7,16.08,14.75,14.75,14.66,1.04,7.0941,6.9464,1667126,25913690.26,1306240000.0,376800000.0
39,2007-01-16,sz002082,集褽陔第,15.67,15.99,15.35,15.71,15.7,-0.03,-0.1911,6.6325,1591809,24941655.2,1303744000.0,376080000.0
40,2007-01-17,sz002082,集褽陔第,15.71,16.15,15.0,15.53,15.67,0.04,0.2553,7.3945,1774676,27777293.0,1307072000.0,377040000.0
41,2007-01-18,sz002082,集褽陔第,16.88,16.88,15.2,15.9,15.71,1.17,7.4475,8.4791,2034980,32635715.62,1404416000.0,405120000.0
42,2007-01-19,sz002082,集褽陔第,17.56,17.78,16.5,16.88,16.88,0.68,4.0284,11.4468,2747233,46955176.78,1460992000.0,421440000.0
43,2007-01-22,sz002082,集褽陔第,18.2,18.4,17.4,17.88,17.56,0.64,3.6446,11.5311,2767471,49727715.12,1514240000.0,436800000.0
44,2007-01-23,sz002082,集褽陔第,17.93,18.35,17.6,18.2,18.2,-0.27,-1.4835,7.8116,1874775,33680577.14,1491776000.0,430320000.0
45,2007-01-24,sz002082,集褽陔第,18.0,18.16,17.61,17.9,17.93,0.07,0.3904,4.746,1139039,20439490.25,1497600000.0,432000000.0
46,2007-01-25,sz002082,集褽陔第,16.75,17.88,16.45,17.67,18.0,-1.25,-6.9444,7.2967,1751201,29715473.42,1393600000.0,402000000.0
47,2007-01-26,sz002082,集褽陔第,16.71,16.8,15.71,16.55,16.75,-0.04,-0.2388,6.0156,1443738,23598858.4,1390272000.0,401040000.0
48,2007-01-29,sz002082,集褽陔第,17.2,17.32,16.9,16.92,16.71,0.49,2.9324,4.8784,1170823,20071270.79,1431040000.0,412800000.0
49,2007-01-30,sz002082,集褽陔第,17.02,17.8,16.85,17.49,17.2,-0.18,-1.0465,3.6407,873767,14995689.04,1416064000.0,408480000.0
50,2007-01-31,sz002082,集褽陔第,16.05,17.2,16.01,17.16,17.02,-0.97,-5.6992,6.9806,1675350,27542235.9,1335360000.0,385200000.0
51,2007-02-01,sz002082,集褽陔第,16.17,16.45,15.9,15.9,16.05,0.12,0.7477,2.4837,596095,9671965.0,1345344000.0,388080000.0
52,2007-02-02,sz002082,集褽陔第,16.1,16.4,15.97,16.19,16.17,-0.07,-0.4329,2.0385,489250,7903138.6,1339520000.0,386400000.0
53,2007-02-05,sz002082,集褽陔第,16.78,17.0,16.22,16.22,16.1,0.68,4.2236,6.2295,1495070,25085859.32,1396096000.0,402720000.0
54,2007-02-06,sz002082,集褽陔第,17.1,17.19,16.7,16.85,16.78,0.32,1.907,3.2189,772540,13165641.75,1422720000.0,410400000.0
55,2007-02-07,sz002082,集褽陔第,17.16,17.35,17.0,17.1,17.1,0.06,0.3509,6.7315,1615559,27834070.21,1427712000.0,411840000.0
56,2007-02-08,sz002082,集褽陔第,17.17,17.49,16.88,17.15,17.16,0.01,0.0583,2.4538,588900,10132251.46,1428544000.0,412080000.0
57,2007-02-09,sz002082,集褽陔第,16.85,17.38,16.85,17.32,17.17,-0.32,-1.8637,2.1241,509785,8652918.25,1401920000.0,404400000.0
58,2007-02-12,sz002082,集褽陔第,17.05,17.35,16.87,16.87,16.85,0.2,1.1869,3.1208,748990,12833274.0,1418560000.0,409200000.0
59,2007-02-13,sz002082,集褽陔第,17.35,17.88,17.26,17.35,17.05,0.3,1.7595,3.7891,909376,15853182.02,1443520000.0,416400000.0
60,2007-02-14,sz002082,集褽陔第,17.41,17.56,17.01,17.28,17.35,0.06,0.3458,4.0732,977578,16961676.86,1448512000.0,417840000.0
61,2007-02-15,sz002082,集褽陔第,19.15,19.15,17.5,17.8,17.41,1.74,9.9943,9.4913,2277903,41937803.87,1593280000.0,459600000.0
62,2007-02-16,sz002082,集褽陔第,19.15,19.48,18.9,19.3,19.15,0.0,0.0,5.1982,1247575,23998946.91,1593280000.0,459600000.0
