,ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
0,2017-07-11,sz002884,Nม่ฯ๖,41.92,41.92,34.93,34.93,29.11,12.81,44.0055,0.0439,8500,353871.0,3247542400.0,811990400.0
1,2017-07-12,sz002884,ม่ฯ๖ฑราต,46.11,46.11,46.11,46.11,41.92,4.19,9.9952,0.0372,7200,331992.0,3572141700.0,893150700.0
2,2017-07-13,sz002884,ม่ฯ๖ฑราต,50.72,50.72,50.72,50.72,46.11,4.61,9.9978,0.05,9676,490766.72,3929278400.0,982446400.0
3,2017-07-14,sz002884,ม่ฯ๖ฑราต,55.79,55.79,55.79,55.79,50.72,5.07,9.9961,0.1678,32500,1813175.0,4322051300.0,1080652300.0
4,2017-07-17,sz002884,ม่ฯ๖ฑราต,61.37,61.37,53.4,61.37,55.79,5.58,10.0018,52.5415,10177281,607634491.96,4754333900.0,1188736900.0
5,2017-07-18,sz002884,ม่ฯ๖ฑราต,55.95,59.5,55.6,58.0,61.37,-5.42,-8.8317,30.4073,5889885,339190967.69,4334446500.0,1083751500.0
6,2017-07-19,sz002884,ม่ฯ๖ฑราต,53.61,55.98,52.0,54.88,55.95,-2.34,-4.1823,24.7386,4791872,257340448.84,4153166700.0,1038425700.0
7,2017-07-20,sz002884,ม่ฯ๖ฑราต,52.95,55.95,52.89,53.88,53.61,-0.66,-1.2311,22.7107,4399055,239329401.66,4102036500.0,1025641500.0
8,2017-07-21,sz002884,ม่ฯ๖ฑราต,50.68,52.0,50.09,52.0,52.95,-2.27,-4.2871,18.2804,3540904,180252122.94,3926179600.0,981671600.0
9,2017-07-24,sz002884,ม่ฯ๖ฑราต,51.2,51.93,49.87,49.88,50.68,0.52,1.026,13.9336,2698937,137729652.7,3966464000.0,991744000.0
10,2017-07-25,sz002884,ม่ฯ๖ฑราต,50.1,51.28,49.8,51.08,51.2,-1.1,-2.1484,12.0665,2337278,117565063.29,3881247000.0,970437000.0
11,2017-07-26,sz002884,ม่ฯ๖ฑราต,50.0,50.88,49.7,50.3,50.1,-0.1,-0.1996,10.2998,1995078,100318981.14,3873500000.0,968500000.0
12,2017-07-27,sz002884,ม่ฯ๖ฑราต,51.08,51.84,49.3,49.62,50.0,1.08,2.16,15.2095,2946077,149466449.56,3957167600.0,989419600.0
13,2017-07-28,sz002884,ม่ฯ๖ฑราต,51.46,53.2,50.79,50.8,51.08,0.38,0.7439,16.6447,3224082,167801340.87,3986606200.0,996780200.0
14,2017-07-31,sz002884,ม่ฯ๖ฑราต,53.1,53.48,50.5,51.1,51.46,1.64,3.1869,15.5209,3006407,157788715.72,4113657000.0,1028547000.0
15,2017-08-01,sz002884,ม่ฯ๖ฑราต,52.42,54.45,51.88,53.02,53.1,-0.68,-1.2806,16.1592,3130036,165712788.99,4060977400.0,1015375400.0
16,2017-08-02,sz002884,ม่ฯ๖ฑราต,50.88,52.87,50.56,51.98,52.42,-1.54,-2.9378,11.802,2286043,118554946.57,3941673600.0,985545600.0
17,2017-08-03,sz002884,ม่ฯ๖ฑราต,53.44,54.33,50.38,50.5,50.88,2.56,5.0314,20.2863,3929465,207259216.96,4139996800.0,1035132800.0
18,2017-08-04,sz002884,ม่ฯ๖ฑราต,51.2,53.5,51.01,53.0,53.44,-2.24,-4.1916,15.7612,3052951,158997163.06,3966464000.0,991744000.0
19,2017-08-07,sz002884,ม่ฯ๖ฑราต,51.39,52.78,51.06,51.08,51.2,0.19,0.3711,9.2697,1795540,93071585.62,3981183300.0,995424300.0
20,2017-08-08,sz002884,ม่ฯ๖ฑราต,50.23,51.58,49.93,51.18,51.39,-1.16,-2.2572,11.1444,2158666,109151658.65,3891318100.0,972955100.0
21,2017-08-09,sz002884,ม่ฯ๖ฑราต,50.54,51.19,50.2,50.2,50.23,0.31,0.6172,6.7055,1298863,65882074.48,3915333800.0,978959800.0
