,晩豚,紘同旗鷹,兆各,辺徒勺,恷互勺,恷詰勺,蝕徒勺,念辺徒,嫻鋸駆,嫻鋸嫌,算返楕,撹住楚,撹住署駆,悳偏峙,送宥偏峙
0,2017-12-01,sz002913,N安平慎,43.75,43.75,36.46,36.46,30.38,13.37,44.0092,0.0547,19716,855946.44,6302275000.0,1575568750.0
1,2017-12-04,sz002913,安平慎,48.13,48.13,48.13,48.13,43.75,4.38,10.0114,0.0349,12558,604416.54,6933222760.0,1733305690.0
2,2017-12-05,sz002913,安平慎,52.94,52.94,52.94,52.94,48.13,4.81,9.9938,0.1992,71745,3798180.3,7626112880.0,1906528220.0
3,2017-12-06,sz002913,安平慎,58.23,58.23,53.01,57.0,52.94,5.29,9.9924,46.5346,16758520,937802587.99,8388147960.0,2097036990.0
4,2017-12-07,sz002913,安平慎,53.58,56.8,53.4,56.6,58.23,-4.65,-7.9856,37.0854,13355578,737585416.05,7718306160.0,1929576540.0
5,2017-12-08,sz002913,安平慎,55.6,58.18,51.06,51.2,53.58,2.02,3.7701,42.3769,15261199,850779837.66,8009291200.0,2002322800.0
6,2017-12-11,sz002913,安平慎,54.13,56.44,53.0,54.07,55.6,-1.47,-2.6439,26.7828,9645304,525008615.9,7797534760.0,1949383690.0
7,2017-12-12,sz002913,安平慎,49.0,52.88,49.0,52.88,54.13,-5.13,-9.4772,30.8819,11121508,565806661.8,7058548000.0,1764637000.0
8,2017-12-13,sz002913,安平慎,48.38,49.85,47.66,48.0,49.0,-0.62,-1.2653,17.5206,6309695,306717996.79,6969235760.0,1742308940.0
9,2017-12-14,sz002913,安平慎,49.24,49.87,48.21,48.4,48.38,0.86,1.7776,17.7555,6394302,314183828.8,7093120480.0,1773280120.0
10,2017-12-15,sz002913,安平慎,46.84,48.97,46.4,48.71,49.24,-2.4,-4.8741,19.1295,6889120,327976626.42,6747395680.0,1686848920.0
11,2017-12-18,sz002913,安平慎,45.77,47.49,45.03,47.15,46.84,-1.07,-2.2844,12.4565,4485968,205738826.91,6593260040.0,1648315010.0
12,2017-12-19,sz002913,安平慎,45.46,46.32,44.71,45.63,45.77,-0.31,-0.6773,13.3996,4825599,219380546.08,6548603920.0,1637150980.0
13,2017-12-20,sz002913,安平慎,45.87,46.13,45.11,45.3,45.46,0.41,0.9019,12.2903,4426112,202295851.44,6607665240.0,1651916310.0
14,2017-12-21,sz002913,安平慎,44.77,45.53,43.61,45.5,45.87,-1.1,-2.3981,15.4321,5557563,248139057.15,6449208040.0,1612302010.0
15,2017-12-22,sz002913,安平慎,45.21,45.98,44.39,44.61,44.77,0.44,0.9828,12.8708,4635168,210370441.39,6512590920.0,1628147730.0
16,2017-12-25,sz002913,安平慎,44.35,44.9,43.0,44.8,45.21,-0.86,-1.9022,13.7148,4939124,216954935.18,6388706200.0,1597176550.0
17,2017-12-26,sz002913,安平慎,46.4,47.36,43.86,43.96,44.35,2.05,4.6223,20.2608,7296516,336444218.31,6684012800.0,1671003200.0
18,2017-12-27,sz002913,安平慎,48.3,50.88,46.35,46.35,46.4,1.9,4.0948,29.5896,10656103,514226686.83,6957711600.0,1739427900.0
19,2017-12-28,sz002913,安平慎,48.95,49.98,47.0,47.36,48.3,0.65,1.3458,28.5527,10282686,500728541.1,7051345400.0,1762836350.0
20,2017-12-29,sz002913,安平慎,47.97,50.78,47.66,48.13,48.95,-0.98,-2.002,21.3696,7695847,376829875.01,6910174440.0,1727543610.0
21,2018-01-02,sz002913,安平慎,48.85,49.83,48.01,49.42,47.97,0.88,1.8345,15.9537,5745420,280660020.91,7036940200.0,1759235050.0
22,2018-01-03,sz002913,安平慎,46.09,48.38,45.46,48.3,48.85,-2.76,-5.6499,21.7864,7845938,365362298.45,6639356680.0,1659839170.0
23,2018-01-04,sz002913,安平慎,45.83,47.05,45.58,45.94,46.09,-0.26,-0.5641,14.6163,5263757,243676007.86,6601903160.0,1650475790.0
24,2018-01-05,sz002913,安平慎,45.43,45.99,44.9,45.4,45.83,-0.4,-0.8728,11.79,4245934,192580969.18,6544282360.0,1636070590.0
25,2018-01-08,sz002913,安平慎,47.6,48.69,45.66,45.75,45.43,2.17,4.7766,20.3225,7318746,345493448.29,6856875200.0,1714218800.0
26,2018-01-09,sz002913,安平慎,47.38,47.54,46.57,47.06,47.6,-0.22,-0.4622,14.9956,5400375,254039571.49,6825183760.0,1706295940.0
27,2018-01-10,sz002913,安平慎,46.25,47.97,45.81,47.45,47.38,-1.13,-2.385,12.1646,4380846,205292228.26,6662405000.0,1665601250.0
28,2018-01-11,sz002913,安平慎,46.86,47.71,45.35,45.35,46.25,0.61,1.3189,13.9948,5039953,236023978.76,6750276720.0,1687569180.0
29,2018-01-12,sz002913,安平慎,45.69,47.46,45.58,46.58,46.86,-1.17,-2.4968,10.4543,3764903,174475051.99,6581735880.0,1645433970.0
30,2018-01-15,sz002913,安平慎,43.81,45.8,43.5,45.68,45.69,-1.88,-4.1147,11.4405,4120050,181975428.58,6310918120.0,1577729530.0
31,2018-01-16,sz002913,安平慎,44.42,45.1,43.8,43.83,43.81,0.61,1.3924,8.9468,3221994,143220492.74,6398789840.0,1599697460.0
32,2018-01-17,sz002913,安平慎,45.42,45.8,43.61,44.36,44.42,1.0,2.2512,11.9503,4303677,193426133.46,6542841840.0,1635710460.0
33,2018-01-18,sz002913,安平慎,44.84,45.65,44.63,45.17,45.42,-0.58,-1.277,7.6815,2766355,124392969.1,6459291680.0,1614822920.0
34,2018-01-19,sz002913,安平慎,45.42,46.45,44.88,44.88,44.84,0.58,1.2935,10.8073,3892028,177681128.39,6542841840.0,1635710460.0
35,2018-01-22,sz002913,安平慎,44.32,45.12,43.52,45.12,45.42,-1.1,-2.4218,6.8567,2469286,109160434.79,6384384640.0,1596096160.0
36,2018-01-23,sz002913,安平慎,44.53,44.86,43.77,44.04,44.32,0.21,0.4738,7.1151,2562366,113561814.62,6414635560.0,1603658890.0
37,2018-01-24,sz002913,安平慎,44.89,45.35,44.16,44.35,44.53,0.36,0.8084,7.4451,2681211,120204639.54,6466494280.0,1616623570.0
38,2018-01-25,sz002913,安平慎,44.17,45.34,44.15,44.7,44.89,-0.72,-1.6039,7.6384,2750800,123060927.01,6362776840.0,1590694210.0
39,2018-01-26,sz002913,安平慎,43.22,44.45,43.11,44.0,44.17,-0.95,-2.1508,8.3385,3002950,131172544.6,6225927440.0,1556481860.0
40,2018-01-29,sz002913,安平慎,43.41,44.0,43.01,43.25,43.22,0.19,0.4396,4.7635,1715472,74445566.23,6253297320.0,1563324330.0
41,2018-01-30,sz002913,安平慎,43.32,43.62,43.05,43.21,43.41,-0.09,-0.2073,4.0456,1456959,62972856.83,6240332640.0,1560083160.0
42,2018-01-31,sz002913,安平慎,40.86,43.18,40.61,43.14,43.32,-2.46,-5.6787,7.9764,2872531,119259401.0,5885964720.0,1471491180.0
43,2018-02-01,sz002913,安平慎,37.78,41.24,37.02,40.86,40.86,-3.08,-7.5379,8.9567,3225583,125923149.95,5442284560.0,1360571140.0
44,2018-02-02,sz002913,安平慎,37.72,38.42,36.9,38.0,37.78,-0.06,-0.1588,5.4548,1964454,74309704.45,5433641440.0,1358410360.0
45,2018-02-05,sz002913,安平慎,37.22,37.98,36.8,36.99,37.72,-0.5,-1.3256,4.6529,1675645,62690114.37,5361615440.0,1340403860.0
46,2018-02-06,sz002913,安平慎,33.5,37.0,33.5,36.5,37.22,-3.72,-9.9946,7.5731,2727305,96228847.89,4825742000.0,1206435500.0
47,2018-02-07,sz002913,安平慎,34.19,34.9,32.11,34.6,33.5,0.69,2.0597,7.1259,2566250,87272364.23,4925137880.0,1231284470.0
48,2018-02-08,sz002913,安平慎,34.37,34.85,33.85,33.89,34.19,0.18,0.5265,5.3045,1910295,65860801.03,4951067240.0,1237766810.0
49,2018-02-09,sz002913,安平慎,33.08,33.68,32.5,33.3,34.37,-1.29,-3.7533,5.4223,1952730,64753965.32,4765240160.0,1191310040.0
50,2018-02-12,sz002913,安平慎,34.05,34.39,33.3,33.61,33.08,0.97,2.9323,4.5062,1622800,55216751.23,4904970600.0,1226242650.0
