,»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
0,2009-09-25,sz300003,¿÷∆’“Ω¡∆,0.0,0.0,0.0,0.0,29.0,,,0.0,0,0.0,10585000000.0,0.0
1,2009-10-30,sz300003,N¿÷∆’,63.4,86.0,56.0,61.0,29.0,34.4,118.6207,87.8359,28810180,1867586366.1,25740400000.0,2079520000.0
2,2009-11-02,sz300003,¿÷∆’“Ω¡∆,57.06,60.8,57.06,57.06,63.4,-6.34,-10.0,30.6874,10065454,580577982.84,23166360000.0,1871568000.0
3,2009-11-03,sz300003,¿÷∆’“Ω¡∆,54.81,57.69,54.32,57.03,57.06,-2.25,-3.9432,17.9061,5873190,327150846.22,22252860000.0,1797768000.0
4,2009-11-04,sz300003,¿÷∆’“Ω¡∆,55.86,56.93,54.82,55.5,54.81,1.05,1.9157,11.5067,3774184,210819076.1,22679160000.0,1832208000.0
5,2009-11-05,sz300003,¿÷∆’“Ω¡∆,56.55,57.71,54.5,55.8,55.86,0.69,1.2352,14.8617,4874626,274297024.66,22959300000.0,1854840000.0
6,2009-11-06,sz300003,¿÷∆’“Ω¡∆,54.53,56.48,54.35,56.0,56.55,-2.02,-3.5721,11.3708,3729623,205400284.8,22139180000.0,1788584000.0
7,2009-11-09,sz300003,¿÷∆’“Ω¡∆,52.5,54.5,52.48,54.0,54.53,-2.03,-3.7227,10.4546,3429114,181879794.28,21315000000.0,1722000000.0
8,2009-11-10,sz300003,¿÷∆’“Ω¡∆,50.08,52.99,50.0,52.51,52.5,-2.42,-4.6095,12.4653,4088612,209741570.74,20332480000.0,1642624000.0
9,2009-11-11,sz300003,¿÷∆’“Ω¡∆,49.78,50.4,48.76,50.1,50.08,-0.3,-0.599,10.0586,3299234,163349130.55,20210680000.0,1632784000.0
10,2009-11-12,sz300003,¿÷∆’“Ω¡∆,50.31,50.79,49.18,49.69,49.78,0.53,1.0647,7.2503,2378101,119262158.76,20425860000.0,1650168000.0
11,2009-11-13,sz300003,¿÷∆’“Ω¡∆,53.0,53.86,49.9,50.28,50.31,2.69,5.3468,14.2255,4665956,244910233.19,21518000000.0,1738400000.0
12,2009-11-16,sz300003,¿÷∆’“Ω¡∆,52.16,52.88,51.55,52.88,53.0,-0.84,-1.5849,8.4825,2782251,144716897.97,21176960000.0,1710848000.0
13,2009-11-17,sz300003,¿÷∆’“Ω¡∆,52.0,53.15,51.71,51.9,52.16,-0.16,-0.3067,4.8718,1597954,83577958.64,21112000000.0,1705600000.0
14,2009-11-18,sz300003,¿÷∆’“Ω¡∆,53.07,53.5,51.9,52.1,52.0,1.07,2.0577,7.8256,2566800,135680661.25,21546420000.0,1740696000.0
15,2009-11-19,sz300003,¿÷∆’“Ω¡∆,56.8,58.35,52.98,53.17,53.07,3.73,7.0285,21.7834,7144962,400028508.91,23060800000.0,1863040000.0
16,2009-11-20,sz300003,¿÷∆’“Ω¡∆,56.59,58.18,54.9,56.43,56.8,-0.21,-0.3697,10.0129,3284233,186175241.28,22975540000.0,1856152000.0
17,2009-11-23,sz300003,¿÷∆’“Ω¡∆,57.07,58.0,56.13,56.38,56.59,0.48,0.8482,7.7622,2545990,145238156.85,23170420000.0,1871896000.0
18,2009-11-24,sz300003,¿÷∆’“Ω¡∆,52.5,57.88,51.4,57.28,57.07,-4.57,-8.0077,11.259,3692941,202628478.49,21315000000.0,1722000000.0
19,2009-11-25,sz300003,¿÷∆’“Ω¡∆,54.39,54.8,51.39,52.0,52.5,1.89,3.6,9.4719,3106777,165789316.7,22082340000.0,1783992000.0
20,2009-11-26,sz300003,¿÷∆’“Ω¡∆,52.87,55.01,52.32,54.0,54.39,-1.52,-2.7946,8.7714,2877013,153943129.89,21465220000.0,1734136000.0
21,2009-11-27,sz300003,¿÷∆’“Ω¡∆,56.25,56.35,52.41,52.95,52.87,3.38,6.393,15.1233,4960447,273406602.36,22837500000.0,1845000000.0
22,2009-11-30,sz300003,¿÷∆’“Ω¡∆,56.13,56.29,54.0,56.28,56.25,-0.12,-0.2133,9.0809,2978531,165112163.96,22788780000.0,1841064000.0
23,2009-12-01,sz300003,¿÷∆’“Ω¡∆,56.56,57.12,55.13,55.6,56.13,0.43,0.7661,8.8987,2918759,164355511.48,22963360000.0,1855168000.0
24,2009-12-02,sz300003,¿÷∆’“Ω¡∆,59.52,60.28,56.36,56.65,56.56,2.96,5.2334,17.7921,5835810,341519063.93,24165120000.0,1952256000.0
25,2009-12-03,sz300003,¿÷∆’“Ω¡∆,62.6,63.0,58.51,59.65,59.52,3.08,5.1747,16.8638,5531322,342177860.31,25415600000.0,2053280000.0
26,2009-12-04,sz300003,¿÷∆’“Ω¡∆,56.88,61.46,56.34,60.6,62.6,-5.72,-9.1374,18.709,6136567,357139616.34,23093280000.0,1865664000.0
27,2009-12-07,sz300003,¿÷∆’“Ω¡∆,57.79,58.2,54.85,56.5,56.88,0.91,1.5999,6.9841,2290797,131659261.13,23462740000.0,1895512000.0
28,2009-12-08,sz300003,¿÷∆’“Ω¡∆,58.94,59.99,56.8,57.8,57.79,1.15,1.99,8.3954,2753676,160371990.69,23929640000.0,1933232000.0
29,2009-12-09,sz300003,¿÷∆’“Ω¡∆,59.28,61.0,58.18,58.5,58.94,0.34,0.5769,11.218,3679495,220610272.75,24067680000.0,1944384000.0
30,2009-12-10,sz300003,¿÷∆’“Ω¡∆,57.96,59.88,57.53,59.0,59.28,-1.32,-2.2267,6.0079,1970578,114899324.38,23531760000.0,1901088000.0
31,2009-12-11,sz300003,¿÷∆’“Ω¡∆,56.2,58.55,55.01,58.0,57.96,-1.76,-3.0366,6.4377,2111550,119662716.35,22817200000.0,1843360000.0
32,2009-12-14,sz300003,¿÷∆’“Ω¡∆,55.32,56.45,54.2,56.42,56.2,-0.88,-1.5658,4.709,1544561,85175589.88,22459920000.0,1814496000.0
33,2009-12-15,sz300003,¿÷∆’“Ω¡∆,55.4,56.69,55.13,55.6,55.32,0.08,0.1446,3.8305,1256392,69997426.88,22492400000.0,1817120000.0
34,2009-12-16,sz300003,¿÷∆’“Ω¡∆,55.92,56.8,54.2,55.7,55.4,0.52,0.9386,8.2147,2694423,150552862.43,22703520000.0,1834176000.0
35,2009-12-17,sz300003,¿÷∆’“Ω¡∆,52.01,55.3,51.6,55.2,55.92,-3.91,-6.9921,6.3529,2083762,110799237.78,21116060000.0,1705928000.0
36,2009-12-18,sz300003,¿÷∆’“Ω¡∆,52.11,53.88,49.0,51.01,52.01,0.1,0.1923,6.7612,2217676,113705004.42,21156660000.0,1709208000.0
37,2009-12-21,sz300003,¿÷∆’“Ω¡∆,52.17,52.88,51.51,52.12,52.11,0.06,0.1151,2.8053,920144,48076968.73,21181020000.0,1711176000.0
38,2009-12-22,sz300003,¿÷∆’“Ω¡∆,49.91,52.48,49.58,51.85,52.17,-2.26,-4.332,3.645,1195550,60346940.9,20263460000.0,1637048000.0
39,2009-12-23,sz300003,¿÷∆’“Ω¡∆,51.19,51.51,49.9,49.9,49.91,1.28,2.5646,3.8423,1260267,64485208.65,20783140000.0,1679032000.0
40,2009-12-24,sz300003,¿÷∆’“Ω¡∆,52.0,52.0,50.3,51.0,51.19,0.81,1.5823,3.6875,1209503,62297335.77,21112000000.0,1705600000.0
41,2009-12-25,sz300003,¿÷∆’“Ω¡∆,50.61,52.02,50.48,52.02,52.0,-1.39,-2.6731,4.2923,1407861,71678228.43,20547660000.0,1660008000.0
42,2009-12-28,sz300003,¿÷∆’“Ω¡∆,50.77,51.5,50.27,51.0,50.61,0.16,0.3161,3.6271,1189693,60429423.11,20612620000.0,1665256000.0
43,2009-12-29,sz300003,¿÷∆’“Ω¡∆,50.33,51.14,50.0,51.14,50.77,-0.44,-0.8667,2.9276,960257,48467313.25,20433980000.0,1650824000.0
44,2009-12-30,sz300003,¿÷∆’“Ω¡∆,51.08,52.2,50.36,50.36,50.33,0.75,1.4902,4.5106,1479461,75994104.75,20738480000.0,1675424000.0
45,2009-12-31,sz300003,¿÷∆’“Ω¡∆,51.2,51.58,50.5,51.5,51.08,0.12,0.2349,2.4387,799890,40796832.23,20787200000.0,1679360000.0
46,2010-01-04,sz300003,¿÷∆’“Ω¡∆,51.5,51.85,51.1,51.59,51.2,0.3,0.5859,2.5684,842437,43289007.74,20909000000.0,1689200000.0
47,2010-01-05,sz300003,¿÷∆’“Ω¡∆,51.66,51.72,50.7,51.62,51.5,0.16,0.3107,2.7856,913661,46797278.08,20973960000.0,1694448000.0
48,2010-01-06,sz300003,¿÷∆’“Ω¡∆,50.76,51.7,50.7,51.7,51.66,-0.9,-1.7422,3.4767,1140361,58249131.94,20608560000.0,1664928000.0
49,2010-01-07,sz300003,¿÷∆’“Ω¡∆,49.7,50.7,49.6,50.7,50.76,-1.06,-2.0883,4.2292,1387188,69442202.53,20178200000.0,1630160000.0
50,2010-01-08,sz300003,¿÷∆’“Ω¡∆,47.79,49.6,47.0,49.5,49.7,-1.91,-3.8431,5.3911,1768292,85403229.44,19402740000.0,1567512000.0
51,2010-01-11,sz300003,¿÷∆’“Ω¡∆,47.5,48.15,46.2,47.75,47.79,-0.29,-0.6068,5.5161,1809275,85654573.12,19285000000.0,1558000000.0
52,2010-01-12,sz300003,¿÷∆’“Ω¡∆,48.59,48.6,47.02,47.5,47.5,1.09,2.2947,4.6061,1510816,72704772.7,19727540000.0,1593752000.0
53,2010-01-13,sz300003,¿÷∆’“Ω¡∆,47.94,48.57,47.42,48.0,48.59,-0.65,-1.3377,3.7109,1217187,58334154.03,19463640000.0,1572432000.0
54,2010-01-14,sz300003,¿÷∆’“Ω¡∆,50.35,50.55,48.1,48.1,47.94,2.41,5.0271,6.363,2087054,104044909.73,20442100000.0,1651480000.0
55,2010-01-15,sz300003,¿÷∆’“Ω¡∆,49.69,50.7,49.23,50.37,50.35,-0.66,-1.3108,3.6974,1212740,60418439.07,20174140000.0,1629832000.0
56,2010-01-18,sz300003,¿÷∆’“Ω¡∆,49.88,50.05,49.23,49.7,49.69,0.19,0.3824,2.4991,819707,40751072.74,20251280000.0,1636064000.0
57,2010-01-19,sz300003,¿÷∆’“Ω¡∆,49.0,50.02,48.55,50.0,49.88,-0.88,-1.7642,3.6107,1184295,57964523.48,19894000000.0,1607200000.0
58,2010-01-20,sz300003,¿÷∆’“Ω¡∆,46.8,48.8,46.67,48.8,49.0,-2.2,-4.4898,4.1898,1374248,65143989.03,19000800000.0,1535040000.0
59,2010-01-21,sz300003,¿÷∆’“Ω¡∆,46.85,47.58,46.72,47.01,46.8,0.05,0.1068,1.8139,594953,27980001.08,19021100000.0,1536680000.0
60,2010-01-22,sz300003,¿÷∆’“Ω¡∆,43.5,46.8,42.99,46.8,46.85,-3.35,-7.1505,7.3023,2395145,105597316.84,17661000000.0,1426800000.0
61,2010-01-25,sz300003,¿÷∆’“Ω¡∆,41.94,43.0,41.48,43.0,43.5,-1.56,-3.5862,5.6526,1854051,78117005.51,17027640000.0,1375632000.0
62,2010-01-26,sz300003,¿÷∆’“Ω¡∆,41.31,42.98,41.18,42.15,41.94,-0.63,-1.5021,3.6349,1192261,50147626.57,16771860000.0,1354968000.0
63,2010-01-27,sz300003,¿÷∆’“Ω¡∆,40.85,41.89,40.4,41.31,41.31,-0.46,-1.1135,2.2406,734926,30169579.61,16585100000.0,1339880000.0
64,2010-01-28,sz300003,¿÷∆’“Ω¡∆,41.44,41.44,39.44,40.85,40.85,0.59,1.4443,3.8126,1250518,50563038.19,16824640000.0,1359232000.0
65,2010-01-29,sz300003,¿÷∆’“Ω¡∆,43.12,43.98,40.9,41.33,41.44,1.68,4.0541,7.6255,2501179,108253938.6,17506720000.0,1414336000.0
66,2010-02-01,sz300003,¿÷∆’“Ω¡∆,41.8,45.11,40.1,40.1,43.12,-1.32,-3.0612,13.4352,5508448,230210477.25,16970800000.0,1713800000.0
67,2010-02-02,sz300003,¿÷∆’“Ω¡∆,43.13,43.65,41.99,41.99,41.8,1.33,3.1818,5.3814,2206381,95324108.08,17510780000.0,1768330000.0
68,2010-02-03,sz300003,¿÷∆’“Ω¡∆,43.4,43.6,41.33,43.03,43.13,0.27,0.626,3.5391,1451042,61958974.08,17620400000.0,1779400000.0
69,2010-02-04,sz300003,¿÷∆’“Ω¡∆,44.5,45.1,42.86,43.38,43.4,1.1,2.5346,3.6099,1480049,65689232.8,18067000000.0,1824500000.0
70,2010-02-05,sz300003,¿÷∆’“Ω¡∆,44.25,45.68,42.5,44.0,44.5,-0.25,-0.5618,2.9461,1207898,53605897.87,17965500000.0,1814250000.0
71,2010-02-08,sz300003,¿÷∆’“Ω¡∆,43.8,44.6,43.25,44.41,44.25,-0.45,-1.0169,1.7921,734756,32266578.86,17782800000.0,1795800000.0
72,2010-02-09,sz300003,¿÷∆’“Ω¡∆,44.37,44.45,43.52,43.57,43.8,0.57,1.3014,1.7613,722127,31869169.48,18014220000.0,1819170000.0
73,2010-02-10,sz300003,¿÷∆’“Ω¡∆,45.6,46.16,44.17,44.47,44.37,1.23,2.7721,2.6462,1084958,49026702.15,18513600000.0,1869600000.0
