,ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
0,2021-02-10,sz300945,NÂü¿¨Áú,21.92,29.8,20.0,23.0,4.56,17.36,380.7018,67.7447,32765924,766678154.44,4471680000.0,1060200343.68
1,2021-02-18,sz300945,CÂü¿¨Áú,34.35,43.0,26.99,27.0,21.92,12.43,56.7062,71.5159,34589942,1170083945.5,7007400000.0,1661399717.4
2,2021-02-19,sz300945,CÂü¿¨Áú,32.0,34.13,27.91,32.0,34.35,-2.35,-6.8413,58.9082,28492005,880209482.87,6528000000.0,1547737728.0
3,2021-02-22,sz300945,CÂü¿¨Áú,33.76,39.98,30.11,31.0,32.0,1.76,5.5,63.2575,30595634,1058147182.61,6887040000.0,1632863303.04
4,2021-02-23,sz300945,CÂü¿¨Áú,27.85,33.3,27.72,30.0,33.76,-5.91,-17.5059,51.6528,24982802,753805367.21,5681400000.0,1347015491.4
5,2021-02-24,sz300945,Âü¿¨Áú,26.94,29.5,25.84,26.25,27.85,-0.91,-3.2675,41.571,20106582,559416332.13,5495760000.0,1303001699.76
6,2021-02-25,sz300945,Âü¿¨Áú,26.15,28.76,25.78,27.14,26.94,-0.79,-2.9324,40.9088,19786256,536515599.35,5334600000.0,1264791924.6
7,2021-02-26,sz300945,Âü¿¨Áú,23.18,24.81,23.16,24.0,26.15,-2.97,-11.3576,37.1274,17957339,429261101.04,4728720000.0,1121142516.72
8,2021-03-01,sz300945,Âü¿¨Áú,22.83,23.37,22.31,22.93,23.18,-0.35,-1.5099,28.3881,13730416,312605545.31,4657320000.0,1104214135.32
9,2021-03-02,sz300945,Âü¿¨Áú,24.04,24.13,22.22,22.84,22.83,1.21,5.3,33.1928,16054279,370457488.58,4904160000.0,1162737968.16
10,2021-03-03,sz300945,Âü¿¨Áú,22.79,23.47,22.75,23.27,24.04,-1.25,-5.1997,25.6527,12407378,285607790.94,4649160000.0,1102279463.16
11,2021-03-04,sz300945,Âü¿¨Áú,21.19,23.1,20.95,22.33,22.79,-1.6,-7.0206,26.3966,12767214,282334786.4,4322760000.0,1024892576.76
12,2021-03-05,sz300945,Âü¿¨Áú,21.4,21.96,20.11,20.8,21.19,0.21,0.991,23.1522,11197974,238531324.41,4365600000.0,1035049605.6
13,2021-03-08,sz300945,Âü¿¨Áú,25.68,25.68,21.5,21.68,21.4,4.28,20.0,36.287,17550886,428403691.05,5238720000.0,1242059526.72
14,2021-03-09,sz300945,Âü¿¨Áú,23.63,26.89,23.21,26.5,25.68,-2.05,-7.9829,48.2066,23316002,573781321.22,4820520000.0,1142907578.52
15,2021-03-10,sz300945,Âü¿¨Áú,22.28,24.26,21.88,22.86,23.63,-1.35,-5.7131,31.6889,15326922,349170939.74,4545120000.0,1077612393.12
16,2021-03-11,sz300945,Âü¿¨Áú,22.4,22.8,20.94,21.78,22.28,0.12,0.5386,25.0888,12134630,265766948.9,4569600000.0,1083416409.6
17,2021-03-12,sz300945,Âü¿¨Áú,21.67,22.95,21.5,22.01,22.4,-0.73,-3.2589,24.5072,11853371,263623065.06,4420680000.0,1048108642.68
18,2021-03-15,sz300945,Âü¿¨Áú,22.36,23.0,21.21,21.52,21.67,0.69,3.1841,24.0931,11653081,256913811.9,4561440000.0,1081481737.44
19,2021-03-16,sz300945,Âü¿¨Áú,21.76,22.14,21.42,22.0,22.36,-0.6,-2.6834,18.7349,9061496,196971571.98,4439040000.0,1052461655.04
20,2021-03-17,sz300945,Âü¿¨Áú,22.65,22.88,21.27,21.5,21.76,0.89,4.0901,25.98,12565711,279487353.13,4620600000.0,1095508110.6
